DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-22 09:15:00,22795.58,22795.58,22795.58,22795.58,0.0
2015-10-22 09:30:00,22783.61,22823.14,22727.59,22783.07,0.0
2015-10-22 09:45:00,22782.85,22803.47,22740.69,22786.49,0.0
2015-10-22 10:00:00,22786.37,22801.17,22760.72,22786.78,0.0
2015-10-22 10:15:00,22786.26,22842.02,22782.94,22815.86,0.0
2015-10-22 10:30:00,22815.42,22839.49,22811.09,22825.79,0.0
2015-10-22 10:45:00,22828.27,22869.59,22826.08,22854.44,0.0
2015-10-22 11:00:00,22851.15,22854.14,22821.6,22828.88,0.0
2015-10-22 11:15:00,22827.47,22827.47,22790.07,22809.12,0.0
2015-10-22 11:30:00,22809.21,22809.21,22781.52,22803.64,0.0
2015-10-22 11:45:00,22804.33,22804.99,22772.43,22778.33,0.0
2015-10-22 12:00:00,22777.04,22777.68,22777.04,22777.68,0.0
2015-10-22 13:00:00,22770.35,22783.82,22741.34,22771.43,0.0
2015-10-22 13:15:00,22770.02,22775.57,22745.94,22747.0,0.0
2015-10-22 13:30:00,22748.85,22782.43,22739.0,22769.07,0.0
2015-10-22 13:45:00,22769.07,22793.94,22751.07,22790.02,0.0
2015-10-22 14:00:00,22794.08,22814.42,22792.96,22795.38,0.0
2015-10-22 14:15:00,22792.58,22841.43,22791.84,22836.84,0.0
2015-10-22 14:30:00,22836.84,22860.68,22823.79,22845.62,0.0
2015-10-22 14:45:00,22849.25,22851.09,22799.95,22801.56,0.0
2015-10-22 15:00:00,22802.49,22823.59,22782.04,22817.91,0.0
2015-10-22 15:15:00,22817.91,22844.57,22809.88,22817.84,0.0
2015-10-22 15:30:00,22820.18,22841.34,22810.4,22828.25,0.0
2015-10-22 15:45:00,22825.65,22861.36,22823.6,22852.8,0.0
2015-10-22 16:00:00,22852.8,22852.8,22845.37,22845.37,0.0
2015-10-23 09:15:00,23220.38,23220.38,23220.38,23220.38,0.0
2015-10-23 09:30:00,23174.94,23207.91,23120.49,23123.82,0.0
2015-10-23 09:45:00,23120.67,23155.93,23088.03,23143.76,0.0
2015-10-23 10:00:00,23145.88,23186.25,23134.5,23141.15,0.0
2015-10-23 10:15:00,23141.91,23170.47,23127.93,23143.12,0.0
2015-10-23 10:30:00,23143.08,23152.85,23123.07,23146.06,0.0
2015-10-23 10:45:00,23161.07,23174.87,23142.7,23166.6,0.0
2015-10-23 11:00:00,23165.79,23170.73,23139.38,23163.98,0.0
2015-10-23 11:15:00,23164.7,23177.25,23147.5,23164.3,0.0
2015-10-23 11:30:00,23165.41,23172.36,23148.05,23149.5,0.0
2015-10-23 11:45:00,23149.72,23165.77,23141.85,23152.7,0.0
2015-10-23 12:00:00,23151.98,23151.98,23151.98,23151.98,0.0
2015-10-23 13:00:00,23146.91,23146.91,23111.04,23128.54,0.0
2015-10-23 13:15:00,23130.17,23152.24,23119.32,23148.0,0.0
2015-10-23 13:30:00,23149.85,23159.71,23141.59,23149.43,0.0
2015-10-23 13:45:00,23150.28,23173.76,23140.32,23165.87,0.0
2015-10-23 14:00:00,23165.29,23183.18,23145.4,23151.56,0.0
2015-10-23 14:15:00,23151.56,23180.97,23151.56,23178.84,0.0
2015-10-23 14:30:00,23175.89,23176.45,23151.39,23151.39,0.0
2015-10-23 14:45:00,23155.66,23158.37,23129.86,23151.5,0.0
2015-10-23 15:00:00,23149.17,23159.65,23134.92,23149.73,0.0
2015-10-23 15:15:00,23149.95,23172.22,23144.48,23170.29,0.0
2015-10-23 15:30:00,23168.95,23168.95,23131.7,23144.36,0.0
2015-10-23 15:45:00,23140.77,23170.72,23118.08,23155.02,0.0
2015-10-23 16:00:00,23155.02,23155.02,23151.94,23151.94,0.0
2015-10-26 09:15:00,23423.64,23423.64,23423.64,23423.64,0.0
2015-10-26 09:30:00,23401.57,23401.57,23272.58,23286.39,0.0
2015-10-26 09:45:00,23286.13,23331.34,23267.91,23304.09,0.0
2015-10-26 10:00:00,23307.11,23330.08,23250.88,23252.4,0.0
2015-10-26 10:15:00,23256.36,23282.89,23240.42,23240.42,0.0
2015-10-26 10:30:00,23240.42,23250.72,23200.27,23200.35,0.0
2015-10-26 10:45:00,23201.48,23230.72,23173.32,23228.09,0.0
2015-10-26 11:00:00,23227.39,23243.84,23205.29,23212.47,0.0
2015-10-26 11:15:00,23212.85,23231.25,23203.52,23228.09,0.0
2015-10-26 11:30:00,23228.88,23233.04,23209.97,23209.97,0.0
2015-10-26 11:45:00,23209.56,23219.2,23203.71,23207.03,0.0
2015-10-26 12:00:00,23204.33,23204.33,23204.33,23204.33,0.0
2015-10-26 13:00:00,23208.36,23217.71,23125.58,23158.61,0.0
2015-10-26 13:15:00,23159.1,23207.78,23135.01,23201.85,0.0
2015-10-26 13:30:00,23201.68,23205.55,23129.81,23132.51,0.0
2015-10-26 13:45:00,23131.47,23147.99,23123.81,23137.34,0.0
2015-10-26 14:00:00,23134.58,23161.56,23126.64,23137.43,0.0
