DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-21 06:00:00,2.493,2.493,2.489,2.489,34.0
2015-10-21 06:15:00,2.489,2.489,2.489,2.489,2.0
2015-10-21 06:30:00,2.488,2.49,2.488,2.49,9.0
2015-10-21 06:45:00,2.49,2.49,2.487,2.487,14.0
2015-10-21 07:00:00,2.488,2.489,2.488,2.488,5.0
2015-10-21 07:15:00,2.488,2.49,2.487,2.488,11.0
2015-10-21 07:30:00,2.487,2.488,2.487,2.488,5.0
2015-10-21 07:45:00,2.488,2.491,2.486,2.488,35.0
2015-10-21 08:00:00,2.487,2.488,2.487,2.488,5.0
2015-10-21 08:15:00,2.489,2.49,2.489,2.489,16.0
2015-10-21 08:30:00,2.489,2.489,2.489,2.489,2.0
2015-10-21 08:45:00,2.489,2.491,2.489,2.491,6.0
2015-10-21 09:00:00,2.49,2.49,2.488,2.49,21.0
2015-10-21 09:15:00,2.49,2.49,2.486,2.486,19.0
2015-10-21 09:30:00,2.485,2.489,2.485,2.488,63.0
2015-10-21 09:45:00,2.487,2.489,2.486,2.489,20.0
2015-10-21 10:00:00,2.489,2.49,2.489,2.489,24.0
2015-10-21 10:15:00,2.49,2.49,2.488,2.488,17.0
2015-10-21 10:30:00,2.49,2.49,2.487,2.489,23.0
2015-10-21 10:45:00,2.49,2.49,2.489,2.489,14.0
2015-10-21 11:00:00,2.49,2.49,2.482,2.484,159.0
2015-10-21 11:15:00,2.484,2.485,2.483,2.484,9.0
2015-10-21 11:45:00,2.486,2.487,2.484,2.487,7.0
2015-10-21 12:00:00,2.487,2.488,2.482,2.485,27.0
2015-10-21 12:15:00,2.484,2.484,2.479,2.479,296.0
2015-10-21 12:30:00,2.478,2.478,2.477,2.478,60.0
2015-10-21 12:45:00,2.478,2.478,2.474,2.475,101.0
2015-10-21 13:00:00,2.475,2.475,2.475,2.475,4.0
2015-10-21 13:15:00,2.475,2.476,2.474,2.474,121.0
2015-10-21 13:30:00,2.474,2.475,2.47,2.47,486.0
2015-10-21 13:45:00,2.471,2.471,2.466,2.468,104.0
2015-10-21 14:00:00,2.468,2.469,2.467,2.467,37.0
2015-10-21 14:15:00,2.467,2.468,2.464,2.464,336.0
2015-10-21 14:30:00,2.465,2.466,2.464,2.465,83.0
2015-10-21 14:45:00,2.464,2.465,2.461,2.462,187.0
2015-10-21 15:00:00,2.461,2.462,2.461,2.461,192.0
2015-10-21 15:15:00,2.461,2.461,2.455,2.457,242.0
2015-10-21 15:30:00,2.457,2.461,2.457,2.459,83.0
2015-10-21 15:45:00,2.459,2.459,2.457,2.458,152.0
2015-10-21 16:00:00,2.458,2.458,2.438,2.447,945.0
2015-10-21 16:15:00,2.446,2.447,2.431,2.435,521.0
2015-10-21 16:30:00,2.435,2.436,2.432,2.435,214.0
2015-10-21 16:45:00,2.434,2.436,2.43,2.43,256.0
2015-10-21 17:00:00,2.43,2.431,2.424,2.424,216.0
2015-10-21 17:15:00,2.424,2.425,2.422,2.423,216.0
2015-10-21 17:30:00,2.425,2.429,2.424,2.427,210.0
2015-10-21 17:45:00,2.428,2.431,2.427,2.431,91.0
2015-10-21 18:00:00,2.429,2.437,2.428,2.437,294.0
2015-10-21 18:15:00,2.437,2.438,2.433,2.433,144.0
2015-10-21 18:30:00,2.434,2.434,2.428,2.43,207.0
2015-10-21 18:45:00,2.429,2.434,2.428,2.432,170.0
2015-10-21 19:00:00,2.432,2.441,2.431,2.438,468.0
2015-10-21 19:15:00,2.438,2.442,2.435,2.438,642.0
2015-10-21 19:30:00,2.438,2.438,2.432,2.437,344.0
2015-10-21 19:45:00,2.436,2.44,2.433,2.435,684.0
2015-10-21 20:00:00,2.434,2.44,2.422,2.426,1527.0
2015-10-21 20:15:00,2.425,2.432,2.423,2.426,1114.0
2015-10-21 20:30:00,2.425,2.427,2.413,2.425,2474.0
2015-10-21 20:45:00,2.424,2.429,2.418,2.418,1468.0
2015-10-21 21:00:00,2.418,2.423,2.415,2.418,2770.0
2015-10-21 21:15:00,2.417,2.421,2.406,2.416,4892.0
