DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-21 08:00:00,448.0,448.0,447.75,448.0,6.0
2015-10-21 08:45:00,448.25,448.25,448.25,448.25,3.0
2015-10-21 09:00:00,448.75,448.75,448.75,448.75,4.0
2015-10-21 09:30:00,448.25,448.25,448.25,448.25,1.0
2015-10-21 09:45:00,448.0,448.0,448.0,448.0,6.0
2015-10-21 10:00:00,448.25,448.25,448.25,448.25,2.0
2015-10-21 10:15:00,448.0,448.0,448.0,448.0,2.0
2015-10-21 11:15:00,448.75,449.5,448.75,449.25,22.0
2015-10-21 11:30:00,449.25,449.25,449.25,449.25,20.0
2015-10-21 11:45:00,448.75,448.75,448.75,448.75,2.0
2015-10-21 12:00:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 12:15:00,449.0,449.0,449.0,449.0,12.0
2015-10-21 12:30:00,449.0,449.0,449.0,449.0,7.0
2015-10-21 12:45:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 13:00:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 13:15:00,448.75,449.0,448.75,449.0,5.0
2015-10-21 13:30:00,449.0,449.0,448.75,449.0,15.0
2015-10-21 13:45:00,448.5,449.0,448.5,448.5,19.0
2015-10-21 14:00:00,448.75,448.75,448.25,448.75,47.0
2015-10-21 14:15:00,448.75,448.75,447.75,447.75,45.0
2015-10-21 14:30:00,447.75,447.75,447.5,447.75,23.0
2015-10-21 14:45:00,447.75,448.0,447.5,447.75,114.0
2015-10-21 15:00:00,447.75,448.5,447.0,447.0,221.0
2015-10-21 15:15:00,447.0,447.0,444.5,445.0,332.0
2015-10-21 15:30:00,445.0,445.5,443.75,444.25,279.0
2015-10-21 15:45:00,444.25,446.75,444.25,446.25,492.0
2015-10-21 16:00:00,446.0,446.0,445.25,445.75,184.0
2015-10-21 16:15:00,445.75,448.75,445.75,448.5,1015.0
2015-10-21 16:30:00,448.25,448.5,447.5,447.75,765.0
2015-10-21 16:45:00,447.75,448.75,447.5,448.0,230.0
2015-10-21 17:00:00,448.0,449.25,447.75,449.0,266.0
2015-10-21 17:15:00,449.0,450.5,448.75,450.0,518.0
2015-10-21 17:30:00,450.25,450.75,449.75,449.75,617.0
