DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-21 06:00:00,15.9,15.92,15.885,15.92,92.0
2015-10-21 06:15:00,15.92,15.92,15.885,15.885,92.0
2015-10-21 06:30:00,15.89,15.895,15.88,15.88,56.0
2015-10-21 06:45:00,15.88,15.89,15.855,15.87,166.0
2015-10-21 07:00:00,15.87,15.89,15.855,15.89,107.0
2015-10-21 07:15:00,15.885,15.895,15.88,15.89,51.0
2015-10-21 07:30:00,15.885,15.92,15.885,15.91,201.0
2015-10-21 07:45:00,15.915,15.94,15.91,15.92,280.0
2015-10-21 08:00:00,15.92,15.925,15.9,15.91,136.0
2015-10-21 08:15:00,15.905,15.905,15.875,15.885,236.0
2015-10-21 08:30:00,15.885,15.91,15.88,15.91,162.0
2015-10-21 08:45:00,15.905,15.925,15.895,15.895,230.0
2015-10-21 09:00:00,15.9,15.91,15.865,15.885,414.0
2015-10-21 09:15:00,15.88,15.9,15.88,15.9,119.0
2015-10-21 09:30:00,15.9,15.91,15.885,15.89,73.0
2015-10-21 09:45:00,15.895,15.895,15.87,15.885,87.0
2015-10-21 10:00:00,15.87,15.87,15.855,15.86,152.0
2015-10-21 10:15:00,15.86,15.885,15.825,15.83,324.0
2015-10-21 10:30:00,15.83,15.855,15.82,15.855,309.0
2015-10-21 10:45:00,15.86,15.875,15.855,15.855,167.0
2015-10-21 11:00:00,15.86,15.875,15.825,15.84,380.0
2015-10-21 11:15:00,15.84,15.84,15.78,15.82,657.0
2015-10-21 11:30:00,15.82,15.89,15.82,15.855,523.0
2015-10-21 11:45:00,15.86,15.875,15.85,15.855,183.0
2015-10-21 12:00:00,15.855,15.87,15.855,15.865,78.0
2015-10-21 12:15:00,15.865,15.87,15.86,15.865,54.0
2015-10-21 12:30:00,15.87,15.875,15.855,15.865,141.0
2015-10-21 12:45:00,15.865,15.87,15.855,15.855,84.0
2015-10-21 13:00:00,15.855,15.865,15.855,15.865,43.0
