DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-22 03:00:00,50.53,50.53,50.53,50.53,0.0
2015-10-22 04:55:00,50.53,50.53,50.53,50.53,0.0
2015-10-23 02:55:00,50.85,50.85,50.85,50.85,0.0
2015-10-23 04:55:00,50.85,50.85,50.85,50.85,0.0
2015-10-24 00:20:00,50.5,50.5,50.5,50.5,23.0
2015-10-24 02:05:00,50.27,50.27,50.27,50.27,0.0
2015-10-24 02:55:00,50.27,50.27,50.27,50.27,0.0
2015-10-24 04:55:00,50.27,50.27,50.27,50.27,0.0
2015-10-26 20:50:00,50.12,50.15,50.12,50.15,2.0
2015-10-26 21:30:00,50.2,50.2,50.07,50.07,8.0
2015-10-26 22:00:00,49.95,49.95,49.95,49.95,1.0
2015-10-26 22:25:00,49.95,49.95,49.95,49.95,1.0
2015-10-26 22:35:00,50.02,50.02,50.02,50.02,1.0
2015-10-27 03:00:00,49.99,49.99,49.99,49.99,0.0
2015-10-27 04:55:00,49.99,49.99,49.99,49.99,0.0
2015-10-27 22:15:00,49.0,49.0,49.0,49.0,1.0
2015-10-28 00:00:00,49.0,49.0,49.0,49.0,1.0
2015-10-28 03:05:00,49.14,49.14,49.14,49.14,0.0
2015-10-28 04:55:00,49.14,49.14,49.14,49.14,0.0
2015-10-28 22:25:00,50.33,50.33,50.33,50.33,1.0
2015-10-28 23:00:00,51.14,51.14,51.14,51.14,1.0
2015-10-29 01:05:00,51.38,51.38,51.38,51.38,5.0
2015-10-29 03:00:00,51.4,51.4,51.4,51.4,0.0
2015-10-29 04:55:00,51.4,51.4,51.4,51.4,0.0
2015-10-29 16:30:00,50.8,50.8,50.8,50.8,1.0
2015-10-29 17:35:00,50.99,50.99,50.99,50.99,1.0
2015-10-29 17:45:00,51.05,51.05,51.05,51.05,1.0
2015-10-29 18:10:00,51.05,51.05,51.05,51.05,1.0
2015-10-29 18:50:00,50.8,50.8,50.8,50.8,1.0
2015-10-29 19:00:00,50.7,50.7,50.7,50.7,1.0
2015-10-29 19:50:00,50.9,50.9,50.9,50.9,1.0
