DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-21 06:00:00,127.04,127.04,127.04,127.04,1.0
2015-10-21 06:55:00,127.09,127.09,127.09,127.09,2.0
2015-10-21 07:20:00,127.1,127.1,127.1,127.1,1.0
2015-10-21 07:45:00,127.14,127.14,127.14,127.14,2.0
2015-10-21 08:00:00,127.15,127.15,127.15,127.15,1.0
2015-10-21 08:05:00,127.12,127.12,127.12,127.12,1.0
2015-10-21 08:55:00,127.3,127.3,127.3,127.3,1.0
2015-10-21 09:05:00,127.38,127.38,127.35,127.35,2.0
2015-10-21 10:00:00,127.22,127.22,127.22,127.22,1.0
2015-10-21 10:10:00,127.27,127.27,127.27,127.27,1.0
2015-10-21 10:50:00,127.28,127.28,127.28,127.28,2.0
2015-10-21 11:00:00,127.32,127.32,127.32,127.32,1.0
2015-10-21 11:20:00,127.38,127.38,127.38,127.38,1.0
2015-10-21 11:30:00,127.45,127.45,127.45,127.45,1.0
2015-10-21 11:35:00,127.47,127.47,127.47,127.47,1.0
2015-10-21 11:40:00,127.4,127.43,127.4,127.43,3.0
2015-10-21 11:45:00,127.47,127.47,127.47,127.47,1.0
2015-10-21 11:50:00,127.42,127.42,127.42,127.42,1.0
2015-10-21 12:10:00,127.53,127.53,127.53,127.53,2.0
2015-10-21 13:15:00,127.41,127.49,127.41,127.49,2.0
2015-10-21 14:10:00,127.35,127.35,127.35,127.35,1.0
2015-10-21 14:15:00,127.3,127.3,127.3,127.3,1.0
2015-10-21 14:20:00,127.28,127.28,127.19,127.19,2.0
2015-10-21 14:25:00,127.14,127.14,127.11,127.11,4.0
2015-10-21 14:30:00,127.0,127.0,127.0,127.0,1.0
2015-10-21 14:35:00,127.0,127.0,127.0,127.0,1.0
2015-10-21 15:00:00,127.05,127.05,127.0,127.01,9.0
2015-10-21 15:05:00,126.9,126.9,126.87,126.87,8.0
2015-10-21 15:10:00,126.86,126.86,126.61,126.66,9.0
2015-10-21 15:15:00,126.62,126.62,126.37,126.37,5.0
2015-10-21 15:20:00,126.36,126.39,126.36,126.39,2.0
2015-10-21 15:25:00,126.39,126.41,126.33,126.41,3.0
2015-10-21 15:30:00,126.4,126.55,126.4,126.55,4.0
2015-10-21 15:35:00,126.31,126.31,126.22,126.22,4.0
2015-10-21 15:40:00,126.23,126.23,125.99,125.99,8.0
2015-10-21 15:45:00,126.02,126.02,126.02,126.02,1.0
2015-10-21 15:50:00,126.25,126.33,126.25,126.33,3.0
2015-10-21 15:55:00,126.33,126.33,126.33,126.33,1.0
2015-10-21 16:00:00,126.28,126.36,126.25,126.36,10.0
2015-10-21 16:20:00,126.32,126.32,126.32,126.32,1.0
2015-10-21 16:25:00,126.52,126.57,126.52,126.57,3.0
2015-10-21 16:30:00,126.67,126.67,126.67,126.67,2.0
2015-10-21 16:35:00,126.43,126.43,126.43,126.43,1.0
2015-10-21 16:40:00,126.49,126.54,126.49,126.52,4.0
2015-10-21 17:10:00,126.64,126.64,126.64,126.64,1.0
2015-10-21 17:15:00,126.82,126.96,126.82,126.96,2.0
2015-10-21 17:25:00,127.03,127.07,126.92,127.07,4.0
2015-10-21 17:30:00,127.32,127.32,127.26,127.26,2.0
2015-10-21 17:35:00,127.23,127.23,127.19,127.19,5.0
2015-10-21 17:40:00,127.11,127.11,126.88,126.88,6.0
2015-10-21 17:45:00,126.75,126.75,126.56,126.56,2.0
2015-10-21 17:50:00,126.59,126.59,126.48,126.48,8.0
2015-10-21 17:55:00,126.3,126.3,126.3,126.3,1.0
2015-10-21 18:00:00,126.38,126.45,126.38,126.45,4.0
2015-10-21 18:05:00,126.43,126.44,126.42,126.44,6.0
2015-10-21 18:10:00,126.45,126.86,126.45,126.79,12.0
2015-10-21 18:15:00,126.76,126.77,126.76,126.76,7.0
2015-10-21 18:20:00,126.7,126.74,126.69,126.74,7.0
2015-10-21 18:25:00,126.82,126.83,126.79,126.79,12.0
2015-10-21 18:30:00,126.83,126.93,126.81,126.88,10.0
2015-10-21 18:35:00,126.86,126.97,126.86,126.97,6.0
2015-10-21 18:40:00,127.02,127.06,127.0,127.0,7.0
2015-10-21 18:45:00,127.01,127.2,127.01,127.16,17.0
2015-10-21 18:50:00,127.2,127.26,127.13,127.13,43.0
2015-10-21 18:55:00,127.24,127.33,127.21,127.33,23.0
2015-10-21 19:00:00,127.13,127.15,127.1,127.1,9.0
2015-10-21 19:10:00,127.12,127.12,127.12,127.12,1.0
2015-10-21 19:20:00,127.16,127.17,127.09,127.09,5.0
2015-10-21 19:30:00,127.2,127.2,127.2,127.2,3.0
2015-10-21 19:35:00,127.14,127.2,127.13,127.2,7.0
2015-10-21 19:40:00,127.23,127.23,127.14,127.14,12.0
2015-10-21 19:55:00,126.9,127.07,126.9,127.07,2.0
2015-10-21 20:00:00,127.05,127.12,127.01,127.05,7.0
2015-10-21 20:10:00,127.03,127.03,127.01,127.01,2.0
2015-10-21 20:15:00,126.88,126.88,126.85,126.87,15.0
2015-10-21 20:25:00,126.92,126.96,126.78,126.78,24.0
2015-10-21 20:30:00,126.83,126.85,126.7,126.7,4.0
2015-10-21 20:35:00,126.65,126.66,126.58,126.59,14.0
2015-10-21 20:40:00,126.59,126.65,126.41,126.41,5.0
2015-10-21 20:45:00,126.48,126.72,126.48,126.64,14.0
2015-10-21 20:50:00,126.48,126.67,126.4,126.63,4.0
2015-10-21 20:55:00,126.53,126.79,126.49,126.79,111.0
2015-10-21 21:00:00,126.79,126.86,126.45,126.59,64.0
2015-10-21 21:05:00,126.72,127.0,126.7,126.84,90.0
2015-10-21 21:10:00,126.74,127.17,126.74,127.1,89.0
2015-10-21 21:15:00,127.09,127.17,126.97,127.0,89.0
2015-10-21 21:20:00,126.95,127.24,126.95,127.17,43.0
2015-10-21 21:25:00,127.24,127.26,126.68,126.7,69.0
2015-10-21 21:30:00,126.94,127.17,126.73,127.09,58.0
2015-10-21 21:35:00,127.04,127.21,127.04,127.21,12.0
2015-10-21 21:40:00,127.13,127.47,127.09,127.29,206.0
2015-10-21 21:45:00,127.3,127.45,127.18,127.18,182.0
2015-10-21 21:50:00,127.17,127.17,126.07,126.11,89.0
2015-10-21 21:55:00,126.12,126.64,125.93,126.51,87.0
2015-10-21 22:00:00,126.3,126.3,126.15,126.28,23.0
2015-10-21 22:05:00,126.2,126.21,126.13,126.13,10.0
2015-10-21 22:10:00,126.44,126.44,126.1,126.1,58.0
2015-10-21 22:15:00,126.02,126.02,125.3,125.62,62.0
2015-10-21 22:20:00,125.5,125.66,125.36,125.66,60.0
2015-10-21 22:25:00,125.78,126.24,125.72,125.72,47.0
2015-10-21 22:30:00,125.91,127.37,125.72,126.85,228.0
2015-10-21 22:35:00,127.02,128.17,127.02,127.58,201.0
2015-10-21 22:40:00,127.6,127.83,127.5,127.65,109.0
2015-10-21 22:45:00,127.69,127.69,127.12,127.12,43.0
2015-10-21 22:50:00,127.08,127.13,126.84,126.91,63.0
2015-10-21 22:55:00,126.99,127.48,126.99,127.36,171.0
2015-10-21 23:00:00,127.34,127.39,126.75,126.85,43.0
2015-10-21 23:05:00,126.68,126.78,126.5,126.78,13.0
2015-10-21 23:10:00,126.77,127.29,126.77,127.29,64.0
2015-10-21 23:15:00,127.41,128.0,127.41,127.98,99.0
2015-10-21 23:20:00,128.01,128.94,128.01,128.49,97.0
2015-10-21 23:25:00,128.76,128.91,128.26,128.31,117.0
2015-10-21 23:30:00,128.31,128.32,128.05,128.21,58.0
2015-10-21 23:35:00,128.22,128.24,128.0,128.0,88.0
2015-10-21 23:40:00,128.15,128.26,128.1,128.22,63.0
2015-10-21 23:45:00,128.15,128.17,127.7,127.7,31.0
2015-10-21 23:50:00,127.78,127.86,127.58,127.61,11.0
2015-10-21 23:55:00,127.5,127.5,127.43,127.43,17.0
2015-10-22 00:00:00,127.38,127.58,127.3,127.58,30.0
2015-10-22 00:05:00,127.77,127.9,127.77,127.83,22.0
2015-10-22 00:10:00,127.77,127.85,127.72,127.75,47.0
2015-10-22 00:15:00,127.79,127.9,127.6,127.9,13.0
2015-10-22 00:20:00,127.93,128.12,127.93,128.08,8.0
2015-10-22 00:25:00,128.07,128.15,127.74,127.85,145.0
2015-10-22 00:30:00,127.86,127.86,127.6,127.6,37.0
2015-10-22 00:35:00,127.7,127.92,127.69,127.92,7.0
2015-10-22 00:40:00,127.92,127.92,127.8,127.8,8.0
2015-10-22 00:45:00,127.88,127.96,127.79,127.96,19.0
2015-10-22 00:50:00,128.22,128.36,128.22,128.36,20.0
2015-10-22 00:55:00,128.36,128.5,128.02,128.05,26.0
2015-10-22 01:00:00,128.01,128.13,127.87,127.91,55.0
2015-10-22 01:05:00,127.87,128.05,127.87,127.91,32.0
2015-10-22 01:10:00,127.71,127.98,127.71,127.91,18.0
