Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
30/12/2015 16:00,21918,21918,21918,21918,21918,21919,21920,0,122
30/12/2015 15:45,21918,21919,21918,21918,21919,21919,21920,262,140
30/12/2015 15:30,21916,21919,21916,21918,21919,21918,21921,168,98
30/12/2015 15:15,21918,21919,21916,21917,21919,21919,21923,96,78
30/12/2015 15:00,21924,21924,21917,21918,21920,21920,21926,82,76
30/12/2015 14:45,21918,21925,21917,21923,21920,21921,21929,90,102
30/12/2015 14:30,21917,21920,21916,21918,21918,21921,21930,56,139
30/12/2015 14:15,21923,21925,21914,21917,21917,21922,21934,65,190
30/12/2015 14:00,21921,21925,21918,21922,21919,21925,21941,86,206
30/12/2015 13:45,21914,21929,21912,21921,21921,21929,21954,213,210
30/12/2015 13:30,21907,21918,21903,21913,21921,21934,21968,276,192
30/12/2015 13:15,21928,21928,21905,21910,21923,21936,21978,311,189
30/12/2015 13:00,21931,21939,21925,21928,21926,21943,21984,146,184
30/12/2015 11:45,21924,21934,21923,21934,21931,21952,21990,105,222
30/12/2015 11:30,21923,21930,21918,21921,21936,21971,21995,124,288
30/12/2015 11:15,21927,21940,21910,21921,21946,21992,22000,260,399
30/12/2015 11:00,21952,21957,21928,21928,21949,22006,22007,285,484
30/12/2015 10:45,21957,21973,21951,21951,21960,22013,22012,337,551
30/12/2015 10:30,21970,21983,21953,21959,21973,22019,22015,433,689
30/12/2015 10:15,21933,21980,21920,21970,22006,22024,22018,681,774
30/12/2015 10:00,21983,22000,21935,21937,22038,22027,22021,684,654
30/12/2015 9:45,22006,22041,21972,21984,22062,22035,22025,619,857
30/12/2015 9:30,22125,22131,22004,22013,22067,22038,22025,1026,1041
30/12/2015 9:15,22130,22156,22095,22127,22065,22036,22024,860,1032
30/12/2015 9:00,22130,22140,22130,22130,22042,22025,22015,81,1028
29/12/2015 16:00,22007,22060,22005,22058,22017,22013,22005,1698,1316
29/12/2015 15:45,22004,22007,21990,22005,22008,22006,22001,1542,1174
29/12/2015 15:30,22015,22019,21995,22005,22008,22004,22000,981,1128
29/12/2015 15:15,22002,22017,21997,22014,22006,22004,21999,838,1187
29/12/2015 15:00,22016,22020,21986,22001,22007,22001,21994,1522,1455
29/12/2015 14:45,22006,22017,22003,22016,22008,21999,21989,986,1492
29/12/2015 14:30,21995,22013,21993,22006,22004,21997,21982,1315,1608
29/12/2015 14:15,22017,22017,21989,21995,22000,21996,21978,1276,1692
29/12/2015 14:00,22011,22030,21995,22016,22001,21995,21972,2176,1817
29/12/2015 13:45,21996,22013,21982,22009,21994,21987,21962,1707,1547
29/12/2015 13:30,21986,22014,21984,21995,21990,21979,21956,1568,1516
29/12/2015 13:15,21996,22015,21981,21985,21990,21970,21948,1733,1656
29/12/2015 13:00,21988,22015,21977,21998,21992,21967,21941,1900,1778
29/12/2015 11:45,21987,22001,21977,21985,21989,21957,21935,827,1968
29/12/2015 11:30,21996,22012,21968,21987,21980,21946,21931,1550,2292
29/12/2015 11:15,21998,22020,21980,21994,21967,21940,21924,2269,2588
29/12/2015 11:00,21980,22003,21957,21997,21951,21926,21916,2346,2767
29/12/2015 10:45,21943,21986,21934,21980,21941,21916,21908,2848,3099
29/12/2015 10:30,21925,21953,21917,21943,21926,21909,21900,2446,3584
29/12/2015 10:15,21909,21938,21880,21923,21913,21906,21896,3030,3824
29/12/2015 10:00,21951,21951,21885,21911,21912,21902,21891,3167,3231
29/12/2015 9:45,21902,21952,21898,21950,21902,21898,21890,4003,3103
29/12/2015 9:30,21878,21908,21844,21902,21890,21891,21888,5273,2825
29/12/2015 9:15,21915,21928,21849,21877,21892,21888,21896,3648,2260
29/12/2015 9:00,21903,21920,21903,21919,21900,21887,21907,62,1961
28/12/2015 16:00,21889,21905,21859,21862,21892,21881,21916,2529,2310
28/12/2015 15:45,21913,21921,21881,21889,21894,21883,21928,2612,2117
28/12/2015 15:30,21916,21936,21899,21912,21892,21887,21938,2449,2028
28/12/2015 15:15,21882,21921,21878,21916,21884,21899,21946,2155,1908
28/12/2015 15:00,21875,21891,21867,21882,21875,21911,21954,1804,1911
28/12/2015 14:45,21875,21884,21861,21873,21870,21928,21965,1566,2203
