Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
26/2/2016 16:00,19225,19225,19225,19225,19223,19205,19199,0,135
26/2/2016 15:45,19225,19226,19224,19225,19218,19200,19198,204,151
26/2/2016 15:30,19225,19229,19224,19226,19211,19194,19195,70,121
26/2/2016 15:15,19215,19236,19215,19225,19203,19191,19194,289,142
26/2/2016 15:00,19200,19216,19198,19214,19194,19188,19195,114,116
26/2/2016 14:45,19191,19201,19189,19199,19187,19187,19195,76,115
26/2/2016 14:30,19184,19198,19184,19191,19183,19188,19196,56,126
26/2/2016 14:15,19187,19197,19182,19186,19177,19187,19196,177,186
26/2/2016 14:00,19178,19190,19174,19182,19178,19190,19196,159,181
26/2/2016 13:45,19176,19188,19173,19176,19181,19195,19200,108,181
26/2/2016 13:30,19165,19182,19157,19179,19187,19199,19201,131,190
26/2/2016 13:15,19190,19190,19152,19162,19193,19203,19184,353,207
26/2/2016 13:00,19197,19205,19191,19192,19198,19205,19166,153,195
26/2/2016 11:45,19206,19211,19193,19196,19202,19205,19147,159,237
26/2/2016 11:30,19210,19216,19200,19207,19208,19210,19127,156,277
26/2/2016 11:15,19184,19217,19184,19210,19212,19209,19105,213,318
26/2/2016 11:00,19213,19216,19179,19183,19212,19179,19086,295,369
26/2/2016 10:45,19231,19233,19190,19212,19213,19151,19067,363,489
26/2/2016 10:30,19225,19238,19211,19229,19209,19119,19047,356,635
26/2/2016 10:15,19213,19224,19180,19224,19211,19086,19029,362,827
26/2/2016 10:00,19187,19231,19175,19213,19206,19052,19013,471,779
26/2/2016 9:45,19192,19236,19171,19187,19145,19023,18997,892,1329
26/2/2016 9:30,19238,19276,19191,19191,19089,18994,18981,1093,1793
26/2/2016 9:15,19197,19268,19158,19240,19029,18966,18965,1315,1992
26/2/2016 9:00,19180,19197,19180,19197,18962,18938,18945,123,2153
25/2/2016 16:00,18901,18960,18900,18912,18899,18917,18928,3222,2747
25/2/2016 15:45,18896,18912,18884,18903,18901,18922,18933,3212,2712
25/2/2016 15:30,18901,18916,18880,18895,18899,18928,18944,2086,2660
25/2/2016 15:15,18881,18903,18850,18902,18903,18933,18957,2121,2803
25/2/2016 15:00,18923,18933,18854,18884,18914,18937,18971,3092,2912
25/2/2016 14:45,18895,18938,18862,18923,18934,18942,18984,3049,3010
25/2/2016 14:30,18911,18942,18890,18893,18943,18949,18994,2954,2970
25/2/2016 14:15,18955,18969,18906,18912,18956,18966,19004,2797,2919
25/2/2016 14:00,18987,18995,18946,18956,18963,18985,19013,2670,3104
25/2/2016 13:45,18967,19027,18965,18988,18961,19000,19028,3579,2892
25/2/2016 13:30,18958,18986,18937,18968,18949,19009,19041,2849,3112
25/2/2016 13:15,18947,18982,18945,18957,18955,19020,19053,2701,3266
25/2/2016 13:00,18970,18999,18936,18948,18975,19028,19068,3721,3389
25/2/2016 11:45,18927,18949,18922,18943,19006,19038,19084,1610,3392
25/2/2016 11:30,18999,19009,18896,18929,19039,19062,19101,4681,3804
25/2/2016 11:15,19055,19070,18997,19000,19069,19087,19116,3618,3595
25/2/2016 11:00,19103,19115,19055,19055,19084,19102,19128,3315,3745
25/2/2016 10:45,19113,19114,19078,19102,19080,19114,19135,3737,4135
25/2/2016 10:30,19075,19115,19057,19111,19069,19123,19139,3669,4971
25/2/2016 10:15,19075,19106,19057,19076,19084,19132,19140,3637,5153
25/2/2016 10:00,19036,19087,19024,19075,19105,19140,19143,4369,4487
25/2/2016 9:45,19048,19069,19010,19037,19120,19149,19147,5265,4345
25/2/2016 9:30,19184,19208,19034,19048,19148,19162,19152,7915,3987
25/2/2016 9:15,19180,19209,19150,19184,19176,19173,19157,4579,2913
25/2/2016 9:00,19175,19189,19171,19181,19179,19168,19152,309,2612
24/2/2016 16:00,19174,19189,19152,19152,19176,19162,19149,3659,3149
24/2/2016 15:45,19188,19205,19160,19174,19178,19161,19146,3473,3069
24/2/2016 15:30,19203,19214,19183,19187,19177,19155,19144,2544,3242
24/2/2016 15:15,19160,19210,19154,19203,19171,19148,19144,3073,3406
24/2/2016 15:00,19166,19182,19146,19162,19156,19139,19143,2998,3366
24/2/2016 14:45,19167,19172,19135,19166,19148,19136,19146,3257,3350
24/2/2016 14:30,19159,19196,19157,19167,19143,19130,19154,4339,3452
24/2/2016 14:15,19128,19163,19118,19158,19133,19127,19167,3363,3246
24/2/2016 14:00,19124,19149,19109,19127,19125,19131,19179,2872,3321
24/2/2016 13:45,19141,19143,19105,19124,19122,19137,19189,2919,3094
24/2/2016 13:30,19113,19150,19093,19141,19124,19145,19205,3766,3153
24/2/2016 13:15,19122,19124,19087,19113,19117,19160,19223,3309,3302
24/2/2016 13:00,19109,19122,19074,19121,19121,19184,19243,3739,3680
24/2/2016 11:45,19133,19137,19095,19111,19137,19205,19264,1737,3717
24/2/2016 11:30,19106,19141,19094,19132,19151,19222,19285,3216,4648
24/2/2016 11:15,19133,19149,19099,19106,19166,19245,19306,4511,5791
24/2/2016 11:00,19199,19206,19132,19135,19203,19276,19329,5198,5993
24/2/2016 10:45,19181,19214,19178,19200,19247,19304,19353,3925,6020
24/2/2016 10:30,19209,19222,19167,19182,19274,19328,19367,6391,6679
24/2/2016 10:15,19290,19294,19193,19209,19293,19352,19383,8929,6687
24/2/2016 10:00,19353,19375,19288,19290,19324,19375,19396,5523,4952
24/2/2016 9:45,19335,19360,19324,19353,19349,19392,19406,5333,4603
24/2/2016 9:30,19282,19347,19282,19335,19360,19406,19408,7220,4424
24/2/2016 9:15,19364,19366,19272,19280,19382,19414,19409,6428,3395
24/2/2016 9:00,19372,19372,19360,19360,19410,19427,19414,254,2702
23/2/2016 16:00,19409,19428,19377,19416,19427,19432,19412,3780,2997
23/2/2016 15:45,19441,19453,19396,19411,19435,19435,19408,4438,2843
23/2/2016 15:30,19419,19445,19418,19442,19451,19431,19407,2077,2706
23/2/2016 15:15,19442,19443,19399,19421,19446,19423,19406,2962,3171
23/2/2016 15:00,19459,19470,19440,19443,19444,19416,19406,1727,3147
23/2/2016 14:45,19489,19498,19450,19460,19437,19405,19405,3010,3653
23/2/2016 14:30,19418,19490,19416,19488,19434,19395,19403,3753,5232
23/2/2016 14:15,19412,19475,19412,19417,19412,19386,19401,4401,5129
23/2/2016 14:00,19407,19421,19390,19413,19400,19386,19405,2842,4667
23/2/2016 13:45,19443,19444,19381,19408,19388,19387,19410,4260,4387
