Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
28/1/2016 16:00,19094,19094,19094,19094,19092,19089,19092,0,155
28/1/2016 15:45,19092,19095,19092,19095,19090,19088,19095,291,236
28/1/2016 15:30,19091,19095,19091,19093,19087,19088,19098,154,220
28/1/2016 15:15,19083,19093,19081,19093,19085,19089,19101,182,237
28/1/2016 15:00,19083,19090,19083,19086,19087,19091,19105,147,285
28/1/2016 14:45,19075,19087,19071,19085,19086,19092,19109,407,304
28/1/2016 14:30,19088,19090,19076,19076,19086,19097,19116,211,304
28/1/2016 14:15,19099,19105,19087,19087,19089,19104,19125,238,313
28/1/2016 14:00,19086,19103,19084,19099,19093,19109,19128,423,353
28/1/2016 13:45,19083,19087,19069,19085,19095,19115,19128,240,322
28/1/2016 13:30,19091,19112,19080,19085,19098,19121,19124,408,341
28/1/2016 13:15,19103,19111,19086,19090,19108,19131,19119,258,337
28/1/2016 13:00,19106,19120,19082,19105,19119,19142,19117,437,401
28/1/2016 11:45,19103,19111,19089,19109,19125,19146,19112,265,429
28/1/2016 11:30,19132,19134,19093,19102,19134,19144,19111,336,470
28/1/2016 11:15,19140,19153,19122,19136,19144,19138,19109,390,493
28/1/2016 11:00,19138,19166,19113,19143,19154,19125,19107,576,584
28/1/2016 10:45,19152,19155,19108,19137,19166,19116,19104,579,714
28/1/2016 10:30,19149,19188,19140,19153,19166,19106,19107,469,894
28/1/2016 10:15,19191,19201,19146,19150,19155,19099,19096,449,1062
28/1/2016 10:00,19202,19230,19164,19186,19131,19092,19088,848,996
28/1/2016 9:45,19140,19203,19120,19202,19096,19083,19079,1227,1381
28/1/2016 9:30,19095,19146,19020,19140,19066,19073,19069,1477,1783
28/1/2016 9:15,19034,19120,19027,19095,19045,19077,19057,1308,2128
28/1/2016 9:00,19033,19033,19012,19033,19044,19067,19048,118,2336
27/1/2016 16:00,19054,19061,19000,19010,19053,19066,19042,2775,3023
27/1/2016 15:45,19032,19082,19030,19054,19071,19071,19042,3235,3185
27/1/2016 15:30,19089,19090,19024,19032,19080,19070,19044,3204,3387
27/1/2016 15:15,19076,19104,19064,19090,19109,19063,19046,2346,4210
27/1/2016 15:00,19100,19140,19071,19077,19090,19051,19045,3554,4511
27/1/2016 14:45,19102,19107,19064,19100,19079,19037,19047,3584,4693
27/1/2016 14:30,19177,19178,19091,19101,19071,19028,19046,4249,4845
27/1/2016 14:15,18996,19189,18994,19177,19059,19026,19047,7319,5100
27/1/2016 14:00,19018,19032,18978,18996,19017,19015,19047,3850,4508
27/1/2016 13:45,19063,19077,19020,19020,19011,19022,19061,4463,4078
27/1/2016 13:30,19041,19065,19007,19062,18996,19031,19077,4342,4035
27/1/2016 13:15,18968,19056,18968,19041,18985,19033,19066,5524,3970
27/1/2016 13:00,18986,18993,18922,18967,18992,19041,19054,4359,3887
27/1/2016 11:45,18943,18989,18939,18965,19012,19061,19042,1703,3803
27/1/2016 11:30,19009,19012,18926,18944,19033,19086,19035,4246,4334
27/1/2016 11:15,19078,19078,19005,19007,19065,19118,19032,4020,4669
27/1/2016 11:00,19069,19084,19028,19077,19082,19107,19022,5107,5141
27/1/2016 10:45,19066,19111,19062,19068,19090,19084,19007,3937,5505
27/1/2016 10:30,19107,19121,19038,19067,19111,19057,18998,4362,6328
27/1/2016 10:15,19089,19112,19051,19107,19139,19036,18990,5921,6526
27/1/2016 10:00,19116,19131,19047,19090,19170,19015,18980,6376,5370
27/1/2016 9:45,19172,19199,19099,19117,19133,18993,18972,6927,5039
27/1/2016 9:30,19211,19220,19140,19172,19079,18966,18963,8055,4719
27/1/2016 9:15,19262,19279,19170,19211,19004,18941,18950,5352,4076
27/1/2016 9:00,19266,19266,19262,19262,18933,18915,18934,142,3557
26/1/2016 16:00,18850,18911,18849,18901,18860,18885,18914,4718,4299
26/1/2016 15:45,18800,18862,18798,18848,18852,18891,18920,5327,4176
26/1/2016 15:30,18854,18858,18785,18798,18853,18905,18934,4839,4451
26/1/2016 15:15,18896,18897,18852,18856,18879,18923,18951,2758,4480
26/1/2016 15:00,18861,18897,18831,18897,18897,18935,18957,3854,4793
26/1/2016 14:45,18854,18877,18826,18863,18910,18941,18958,4104,4816
26/1/2016 14:30,18921,18922,18837,18853,18930,18954,18965,6701,4814
26/1/2016 14:15,18948,18959,18908,18925,18956,18975,18969,4981,4295
26/1/2016 14:00,18960,18992,18931,18949,18967,18986,18970,4323,4248
26/1/2016 13:45,18961,18979,18936,18959,18972,18987,18975,3971,3800
26/1/2016 13:30,18983,18997,18956,18963,18972,18982,18977,4092,3569
26/1/2016 13:15,18979,18999,18942,18985,18978,18982,18995,4109,3703
26/1/2016 13:00,18958,18987,18922,18980,18993,18975,19018,4747,4010
26/1/2016 11:45,18958,18992,18951,18971,19006,18971,19039,2080,4620
26/1/2016 11:30,18994,19003,18956,18959,19002,18976,19060,2818,5046
26/1/2016 11:15,19063,19071,18990,18993,18993,18979,19084,4760,5442
26/1/2016 11:00,19041,19086,19026,19063,18987,19004,19107,5647,5601
26/1/2016 10:45,18950,19079,18937,19042,18957,19030,19126,7793,5795
26/1/2016 10:30,18914,18959,18897,18951,18936,19055,19142,4210,6001
26/1/2016 10:15,18961,18963,18908,18915,18951,19089,19168,4801,6370
26/1/2016 10:00,18911,18969,18895,18962,18966,19130,19193,5552,5478
26/1/2016 9:45,18938,18954,18899,18914,19021,19168,19215,6620,5221
26/1/2016 9:30,19025,19048,18930,18938,19103,19211,19243,8822,4663
26/1/2016 9:15,18988,19042,18948,19025,19174,19246,19272,6055,3432
26/1/2016 9:00,19005,19013,18985,18990,19226,19276,19296,343,2969
25/1/2016 16:00,19321,19326,19229,19238,19294,19306,19324,4265,3443
25/1/2016 15:45,19293,19341,19286,19323,19314,19312,19335,3832,3251
25/1/2016 15:30,19288,19315,19276,19294,19318,19313,19343,2663,3177
25/1/2016 15:15,19328,19328,19271,19287,19317,19321,19350,3744,3345
