Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
27/11/2015 16:00,22211,22211,22211,22211,22214,22215,22226,0,181
27/11/2015 15:45,22212,22213,22211,22212,22215,22219,22229,227,239
27/11/2015 15:30,22211,22216,22208,22213,22212,22222,22233,299,229
27/11/2015 15:15,22224,22226,22210,22211,22211,22227,22238,201,223
27/11/2015 15:00,22216,22225,22214,22225,22210,22230,22245,180,240
27/11/2015 14:45,22201,22224,22196,22214,22215,22233,22252,287,237
27/11/2015 14:30,22206,22215,22190,22199,22223,22235,22259,177,225
27/11/2015 14:15,22206,22219,22195,22207,22231,22244,22267,271,239
27/11/2015 14:00,22249,22251,22202,22206,22242,22251,22283,283,261
27/11/2015 13:45,22254,22259,22242,22247,22250,22263,22303,169,225
27/11/2015 13:30,22243,22261,22239,22254,22250,22271,22324,227,232
27/11/2015 13:15,22265,22268,22228,22242,22248,22277,22342,247,256
27/11/2015 13:00,22253,22270,22242,22263,22256,22285,22360,380,265
27/11/2015 11:45,22247,22255,22243,22245,22260,22304,22377,104,269
27/11/2015 11:30,22247,22267,22237,22248,22275,22329,22393,200,317
27/11/2015 11:15,22278,22280,22235,22243,22292,22361,22408,350,405
27/11/2015 11:00,22282,22294,22259,22282,22305,22389,22425,292,457
27/11/2015 10:45,22323,22330,22275,22283,22314,22412,22440,398,625
27/11/2015 10:30,22337,22350,22306,22318,22347,22435,22457,346,760
27/11/2015 10:15,22308,22343,22281,22334,22384,22452,22478,639,878
27/11/2015 10:00,22322,22365,22295,22310,22430,22466,22501,610,760
27/11/2015 9:45,22445,22445,22308,22324,22473,22485,22526,1130,1049
27/11/2015 9:30,22505,22507,22430,22448,22510,22504,22549,1074,1433
27/11/2015 9:15,22570,22592,22477,22504,22523,22512,22566,936,1588
27/11/2015 9:00,22574,22583,22564,22564,22521,22525,22583,51,1765
26/11/2015 16:00,22507,22539,22495,22525,22502,22537,22595,2054,2253
26/11/2015 15:45,22515,22544,22483,22508,22497,22553,22609,3050,2366
26/11/2015 15:30,22492,22514,22471,22513,22497,22569,22624,1847,3028
26/11/2015 15:15,22471,22495,22454,22494,22501,22588,22638,1822,3818
26/11/2015 15:00,22496,22497,22453,22471,22529,22614,22656,2494,4062
26/11/2015 14:45,22511,22513,22464,22497,22571,22641,22675,2618,3893
26/11/2015 14:30,22528,22528,22435,22511,22608,22665,22692,6360,3771
26/11/2015 14:15,22634,22646,22508,22530,22641,22687,22708,5797,3010
26/11/2015 14:00,22681,22696,22623,22635,22675,22707,22722,3040,2599
26/11/2015 13:45,22683,22704,22674,22682,22699,22719,22736,1648,2200
26/11/2015 13:30,22675,22695,22671,22684,22710,22727,22738,2009,2054
26/11/2015 13:15,22699,22717,22674,22676,22722,22734,22725,2556,2012
26/11/2015 13:00,22754,22763,22673,22699,22733,22741,22714,3744,2018
26/11/2015 11:45,22737,22761,22733,22755,22739,22746,22701,1045,1729
26/11/2015 11:30,22741,22749,22730,22738,22739,22755,22687,918,2023
26/11/2015 11:15,22731,22751,22722,22740,22744,22751,22674,1797,2365
26/11/2015 11:00,22727,22752,22721,22732,22746,22727,22664,2587,2491
26/11/2015 10:45,22756,22769,22728,22728,22749,22705,22655,2297,2791
26/11/2015 10:30,22762,22770,22735,22756,22753,22683,22646,2516,3419
26/11/2015 10:15,22748,22784,22748,22763,22771,22661,22633,2630,4453
26/11/2015 10:00,22745,22757,22719,22749,22758,22639,22621,2424,3971
26/11/2015 9:45,22754,22762,22708,22747,22707,22624,22611,4086,4016
26/11/2015 9:30,22844,22844,22738,22752,22662,22608,22599,5441,3874
26/11/2015 9:15,22700,23055,22684,22845,22612,22592,22582,7682,3484
26/11/2015 9:00,22613,22700,22613,22699,22551,22563,22558,224,2484
25/11/2015 16:00,22517,22530,22459,22494,22520,22552,22543,2648,3092
25/11/2015 15:45,22505,22520,22482,22519,22540,22564,22544,3373,3017
25/11/2015 15:30,22543,22543,22491,22503,22555,22568,22541,3494,3009
25/11/2015 15:15,22546,22571,22530,22541,22572,22567,22540,2681,2924
25/11/2015 15:00,22592,22597,22534,22545,22576,22562,22539,3263,3148
25/11/2015 14:45,22594,22607,22573,22590,22584,22554,22535,2273,3144
25/11/2015 14:30,22588,22610,22554,22595,22587,22546,22527,3334,3694
25/11/2015 14:15,22561,22593,22550,22588,22581,22534,22520,3070,4309
25/11/2015 14:00,22588,22605,22550,22560,22561,22525,22512,3799,4331
25/11/2015 13:45,22608,22633,22581,22586,22547,22521,22505,3245,3740
25/11/2015 13:30,22565,22621,22548,22608,22525,22511,22499,5021,3587
25/11/2015 13:15,22491,22595,22483,22563,22504,22497,22493,6408,3237
25/11/2015 13:00,22495,22520,22486,22490,22486,22490,22495,3181,2588
25/11/2015 11:45,22475,22490,22475,22490,22488,22487,22501,847,2510
25/11/2015 11:30,22505,22516,22470,22474,22495,22484,22510,2478,3310
25/11/2015 11:15,22476,22506,22456,22503,22497,22485,22518,3271,3432
25/11/2015 11:00,22497,22501,22468,22475,22490,22488,22517,3161,3633
25/11/2015 10:45,22527,22529,22494,22497,22493,22499,22518,2791,3943
25/11/2015 10:30,22481,22528,22476,22528,22485,22508,22517,4850,4489
25/11/2015 10:15,22472,22485,22448,22481,22472,22518,22512,3086,4582
25/11/2015 10:00,22493,22503,22433,22470,22474,22528,22510,4278,4012
25/11/2015 9:45,22456,22500,22429,22491,22485,22531,22511,4710,3847
25/11/2015 9:30,22464,22506,22433,22457,22505,22530,22509,5522,3618
25/11/2015 9:15,22488,22575,22454,22462,22531,22532,22507,5312,3106
25/11/2015 9:00,22490,22492,22488,22490,22563,22532,22509,236,2887
24/11/2015 16:00,22594,22600,22503,22524,22582,22529,22509,3455,4490
24/11/2015 15:45,22582,22628,22578,22594,22576,22525,22506,3566,4219
24/11/2015 15:30,22624,22633,22578,22583,22554,22510,22500,2959,4143
24/11/2015 15:15,22587,22645,22573,22624,22534,22495,22494,4221,4155
24/11/2015 15:00,22495,22627,22495,22587,22501,22482,22484,8251,4032
24/11/2015 14:45,22485,22503,22472,22493,22475,22473,22480,2099,3182
24/11/2015 14:30,22479,22504,22469,22484,22473,22472,22485,3184,3813
24/11/2015 14:15,22458,22480,22444,22480,22466,22473,22489,3018,3799
24/11/2015 14:00,22457,22468,22430,22459,22457,22474,22496,3608,4187
24/11/2015 13:45,22486,22493,22444,22457,22464,22475,22503,4001,3708
24/11/2015 13:30,22448,22518,22447,22486,22471,22483,22519,5256,3205
24/11/2015 13:15,22433,22458,22426,22449,22470,22491,22533,3112,2663
