Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
29/10/2015 16:00,22894,22894,22894,22894,22896,22903,22905,0,97
29/10/2015 15:45,22895,22897,22894,22895,22896,22906,22906,172,130
29/10/2015 15:30,22895,22898,22893,22895,22897,22907,22906,87,118
29/10/2015 15:15,22899,22899,22888,22895,22901,22907,22905,104,120
29/10/2015 15:00,22898,22905,22891,22900,22907,22907,22903,124,120
29/10/2015 14:45,22899,22899,22886,22897,22911,22910,22905,163,139
29/10/2015 14:30,22911,22911,22892,22899,22916,22911,22910,112,124
29/10/2015 14:15,22925,22925,22904,22916,22917,22910,22911,95,139
29/10/2015 14:00,22920,22925,22904,22924,22912,22907,22917,108,170
29/10/2015 13:45,22928,22947,22910,22918,22906,22900,22926,217,187
29/10/2015 13:30,22901,22925,22891,22925,22909,22903,22933,88,198
29/10/2015 13:15,22896,22910,22891,22901,22905,22907,22937,188,231
29/10/2015 13:00,22896,22900,22871,22894,22904,22908,22941,248,245
29/10/2015 11:45,22937,22937,22885,22891,22902,22919,22946,192,259
29/10/2015 11:30,22905,22952,22905,22935,22895,22936,22950,275,346
29/10/2015 11:15,22898,22913,22886,22903,22896,22946,22950,253,390
29/10/2015 11:00,22880,22915,22871,22897,22908,22953,22957,258,473
29/10/2015 10:45,22854,22895,22850,22885,22913,22960,22965,319,623
29/10/2015 10:30,22948,22948,22852,22854,22936,22967,22975,623,683
29/10/2015 10:15,22965,22970,22925,22943,22977,22977,22987,496,697
29/10/2015 10:00,22920,22980,22919,22962,22995,22977,22993,668,614
29/10/2015 9:45,23003,23005,22892,22920,22998,22982,22996,1007,893
29/10/2015 9:30,23058,23075,23002,23003,23006,22991,23003,620,994
29/10/2015 9:15,23043,23079,23029,23056,22998,22994,23002,695,1156
29/10/2015 9:00,23030,23042,23030,23032,22977,22992,23000,82,1337
28/10/2015 16:00,22961,22989,22955,22978,22960,22992,22997,2062,2012
28/10/2015 15:45,22962,22965,22938,22962,22966,22996,22998,1510,2026
28/10/2015 15:30,22950,22980,22950,22962,22977,23001,23002,1433,2101
28/10/2015 15:15,22945,22970,22930,22951,22991,23004,23007,1600,2165
28/10/2015 15:00,23007,23008,22927,22946,23006,23011,23012,3457,2213
28/10/2015 14:45,23016,23018,22993,23007,23023,23016,23019,2132,1932
28/10/2015 14:30,23031,23040,23005,23017,23026,23015,23024,1882,1976
28/10/2015 14:15,23028,23046,23017,23033,23025,23015,23030,1754,1997
28/10/2015 14:00,23031,23040,23014,23028,23017,23015,23031,1842,2145
28/10/2015 13:45,23020,23045,23012,23031,23016,23015,23031,2049,1943
28/10/2015 13:30,23015,23027,22995,23020,23009,23017,23032,2354,1782
28/10/2015 13:15,22992,23032,22985,23014,23004,23023,23035,1987,2019
28/10/2015 13:00,23018,23034,22992,22992,23005,23032,23043,2495,2215
28/10/2015 11:45,22998,23021,22998,23021,23014,23038,23047,831,2290
28/10/2015 11:30,22998,23010,22986,22998,23015,23039,23051,1241,2987
28/10/2015 11:15,23021,23024,22982,22995,23025,23043,23059,3541,3417
28/10/2015 11:00,23033,23042,23009,23021,23041,23051,23064,2966,3547
28/10/2015 10:45,23029,23053,23009,23033,23059,23061,23071,2869,3944
28/10/2015 10:30,23049,23059,22992,23027,23063,23064,23073,4316,4257
28/10/2015 10:15,23078,23092,23047,23048,23064,23069,23076,3395,3914
28/10/2015 10:00,23111,23130,23076,23077,23062,23075,23075,4190,3258
28/10/2015 9:45,23054,23110,23046,23110,23060,23076,23069,4948,2924
28/10/2015 9:30,23028,23080,23007,23054,23064,23077,23062,4437,2560
28/10/2015 9:15,23041,23048,22992,23030,23064,23079,23057,2600,2162
28/10/2015 9:00,23037,23043,23037,23038,23074,23083,23051,117,2048
27/10/2015 16:00,23126,23131,23067,23070,23089,23082,23044,2518,2403
27/10/2015 15:45,23056,23130,23046,23127,23092,23073,23035,3129,2567
27/10/2015 15:30,23080,23087,23047,23056,23091,23061,23021,2448,2892
27/10/2015 15:15,23112,23121,23065,23080,23093,23054,23013,2029,3146
27/10/2015 15:00,23085,23115,23073,23112,23091,23040,23003,1892,3723
27/10/2015 14:45,23125,23138,23072,23083,23075,23022,22991,3339,4020
27/10/2015 14:30,23066,23150,23065,23123,23054,23007,22986,4750,3930
27/10/2015 14:15,23073,23098,23046,23066,23031,22987,22981,3722,3852
27/10/2015 14:00,23029,23085,23029,23073,23014,22973,22978,4911,3969
27/10/2015 13:45,22980,23033,22963,23029,22989,22959,22977,3379,3209
27/10/2015 13:30,23010,23018,22979,22980,22969,22950,22982,2888,2790
27/10/2015 13:15,22981,23027,22974,23008,22959,22952,22987,4358,2868
27/10/2015 13:00,22945,22989,22923,22982,22942,22956,22993,4308,2553
27/10/2015 11:45,22932,22952,22924,22944,22931,22960,23001,1110,2464
27/10/2015 11:30,22929,22936,22918,22932,22930,22972,23010,1284,3294
27/10/2015 11:15,22924,22940,22894,22929,22930,22989,23023,3280,4243
27/10/2015 11:00,22928,22945,22918,22922,22945,23000,23035,2784,4412
27/10/2015 10:45,22935,22955,22903,22930,22970,23019,23044,3862,4654
27/10/2015 10:30,22932,22952,22898,22936,22988,23035,23054,5259,5183
27/10/2015 10:15,23005,23011,22922,22933,23013,23051,23067,6029,4958
27/10/2015 10:00,23043,23044,23000,23006,23048,23069,23081,4124,3786
27/10/2015 9:45,23018,23054,23010,23044,23055,23079,23090,3996,3510
27/10/2015 9:30,23065,23075,22985,23020,23067,23081,23101,6508,3201
27/10/2015 9:15,23109,23114,23046,23064,23083,23087,23111,4133,2270
27/10/2015 9:00,23129,23129,23105,23105,23088,23094,23121,171,1943
26/10/2015 16:00,23104,23108,23036,23043,23090,23098,23129,2740,2322
26/10/2015 15:45,23099,23111,23083,23104,23103,23108,23142,2454,2429
26/10/2015 15:30,23090,23116,23087,23097,23095,23119,23150,1853,2560
26/10/2015 15:15,23115,23116,23077,23089,23091,23125,23159,2497,3137
26/10/2015 15:00,23111,23128,23102,23116,23101,23138,23167,2066,3135
26/10/2015 14:45,23064,23131,23061,23111,23107,23148,23175,3274,3434
26/10/2015 14:30,23074,23095,23060,23062,23112,23161,23185,3108,3516
26/10/2015 14:15,23140,23158,23057,23075,23142,23177,23202,4742,3803
26/10/2015 14:00,23143,23163,23130,23142,23159,23193,23218,2484,4018
26/10/2015 13:45,23139,23156,23117,23143,23174,23200,23232,3563,3652
26/10/2015 13:30,23210,23210,23116,23140,23190,23209,23250,3685,3118
26/10/2015 13:15,23160,23215,23131,23210,23209,23222,23253,4543,2865
26/10/2015 13:00,23221,23228,23107,23158,23212,23232,23250,5814,2619
26/10/2015 11:45,23223,23229,23217,23218,23227,23247,23250,657,2452
26/10/2015 11:30,23235,23240,23218,23224,23226,23261,23247,891,3201
26/10/2015 11:15,23221,23239,23209,23237,23229,23281,23243,2422,3904
