DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-21 08:35:00,49.57,49.57,49.57,49.57,1.0
2015-10-21 10:00:00,49.57,49.57,49.57,49.57,10.0
2015-10-21 12:10:00,49.64,49.65,49.64,49.65,2.0
2015-10-21 12:45:00,49.64,49.68,49.64,49.68,4.0
2015-10-21 13:15:00,49.67,49.67,49.67,49.67,1.0
2015-10-21 13:25:00,49.65,49.65,49.65,49.65,1.0
2015-10-21 13:30:00,49.65,49.65,49.65,49.65,1.0
2015-10-21 14:20:00,49.59,49.59,49.59,49.59,1.0
2015-10-21 14:35:00,49.47,49.47,49.47,49.47,1.0
2015-10-21 14:50:00,49.44,49.44,49.44,49.44,1.0
2015-10-21 14:55:00,49.47,49.47,49.44,49.45,3.0
2015-10-21 15:10:00,49.37,49.38,49.37,49.37,59.0
2015-10-21 15:15:00,49.26,49.26,49.26,49.26,1.0
2015-10-21 15:25:00,49.24,49.24,49.16,49.16,22.0
2015-10-21 15:35:00,49.16,49.16,49.14,49.14,12.0
2015-10-21 15:55:00,49.21,49.22,49.21,49.22,2.0
2015-10-21 16:15:00,49.19,49.19,49.19,49.19,1.0
2015-10-21 16:25:00,49.31,49.31,49.31,49.31,1.0
2015-10-21 16:30:00,49.33,49.4,49.32,49.37,57.0
2015-10-21 16:35:00,49.37,49.37,49.37,49.37,3.0
2015-10-21 16:40:00,49.27,49.27,49.26,49.26,2.0
2015-10-21 16:45:00,49.31,49.31,49.31,49.31,2.0
2015-10-21 16:50:00,49.32,49.36,49.32,49.36,17.0
2015-10-21 16:55:00,49.34,49.34,49.29,49.29,5.0
2015-10-21 17:00:00,49.29,49.29,49.28,49.28,2.0
2015-10-21 17:05:00,49.3,49.33,49.3,49.33,4.0
2015-10-21 17:10:00,49.33,49.35,49.3,49.35,16.0
2015-10-21 17:15:00,49.34,49.4,49.31,49.39,14.0
2015-10-21 17:20:00,49.42,49.44,49.4,49.44,8.0
2015-10-21 17:25:00,49.4,49.4,49.4,49.4,2.0
2015-10-21 17:30:00,49.44,49.47,49.44,49.47,6.0
2015-10-21 17:40:00,49.42,49.42,49.42,49.42,1.0
2015-10-21 17:45:00,49.35,49.35,49.35,49.35,3.0
2015-10-21 17:50:00,49.31,49.31,49.3,49.3,3.0
2015-10-21 17:55:00,49.28,49.28,49.28,49.28,1.0
2015-10-21 18:15:00,49.35,49.35,49.32,49.32,2.0
2015-10-21 19:00:00,49.32,49.32,49.32,49.32,1.0
2015-10-21 19:30:00,49.39,49.43,49.39,49.43,4.0
2015-10-21 20:00:00,49.29,49.29,49.29,49.29,1.0
2015-10-21 20:05:00,49.26,49.26,49.26,49.26,1.0
2015-10-21 20:10:00,49.22,49.22,49.21,49.21,76.0
2015-10-21 20:30:00,49.11,49.11,49.1,49.1,51.0
2015-10-21 20:35:00,49.15,49.15,49.15,49.15,1.0
2015-10-21 20:40:00,49.15,49.15,49.07,49.07,12.0
2015-10-21 20:45:00,49.12,49.2,49.12,49.19,8.0
2015-10-21 20:50:00,49.15,49.15,49.15,49.15,1.0
2015-10-21 20:55:00,49.17,49.17,49.09,49.09,52.0
2015-10-21 21:00:00,49.01,49.05,48.95,49.04,80.0
2015-10-21 21:05:00,49.09,49.14,49.09,49.14,3.0
2015-10-21 21:10:00,49.1,49.15,49.1,49.15,6.0
2015-10-21 21:15:00,49.11,49.15,49.1,49.1,8.0
2015-10-21 21:20:00,49.13,49.2,49.13,49.2,5.0
2015-10-21 21:25:00,49.11,49.11,49.05,49.07,28.0
2015-10-21 21:30:00,49.12,49.14,49.11,49.14,29.0
2015-10-21 21:35:00,49.14,49.17,49.14,49.17,14.0
2015-10-21 21:40:00,49.19,49.24,49.19,49.21,7.0
2015-10-21 21:45:00,49.2,49.2,49.15,49.18,5.0
2015-10-21 21:50:00,49.07,49.1,49.0,49.0,91.0
2015-10-21 21:55:00,48.97,49.0,48.88,49.0,38.0
2015-10-21 22:00:00,48.9,48.9,48.9,48.9,3.0
2015-10-21 22:05:00,48.91,48.95,48.89,48.89,52.0
2015-10-21 22:10:00,48.95,48.95,48.91,48.92,6.0
2015-10-21 22:15:00,48.85,48.85,48.65,48.7,947.0
2015-10-21 22:20:00,48.69,48.69,48.63,48.67,19.0
2015-10-21 22:25:00,48.84,48.86,48.62,48.62,3.0
2015-10-21 22:30:00,48.67,48.78,48.62,48.73,75.0
2015-10-21 22:35:00,48.87,49.06,48.87,48.92,42.0
2015-10-21 22:40:00,48.91,49.02,48.91,49.02,12.0
2015-10-21 22:50:00,48.85,48.94,48.84,48.94,6.0
2015-10-21 22:55:00,49.02,49.11,49.02,49.07,30.0
2015-10-21 23:00:00,49.09,49.09,49.03,49.03,7.0
2015-10-21 23:05:00,49.01,49.01,49.01,49.01,1.0
2015-10-21 23:10:00,49.07,49.18,49.07,49.18,8.0
2015-10-21 23:15:00,49.23,49.41,49.23,49.34,68.0
2015-10-21 23:20:00,49.37,49.52,49.37,49.44,157.0
2015-10-21 23:25:00,49.34,49.35,49.33,49.35,4.0
2015-10-21 23:30:00,49.37,49.37,49.27,49.27,3.0
2015-10-21 23:35:00,49.18,49.21,49.14,49.21,158.0
2015-10-21 23:40:00,49.24,49.3,49.24,49.3,25.0
2015-10-21 23:45:00,49.25,49.25,49.0,49.0,31.0
2015-10-21 23:50:00,49.06,49.06,48.98,48.98,2.0
2015-10-21 23:55:00,49.0,49.0,48.94,48.94,53.0
2015-10-22 00:00:00,48.92,48.92,48.92,48.92,2.0
2015-10-22 00:05:00,48.93,48.97,48.93,48.94,13.0
2015-10-22 00:15:00,48.95,48.95,48.9,48.9,62.0
2015-10-22 00:20:00,49.0,49.04,49.0,49.0,7.0
2015-10-22 00:25:00,49.02,49.02,48.97,48.98,4.0
2015-10-22 00:30:00,48.95,48.96,48.94,48.94,8.0
2015-10-22 00:40:00,49.07,49.1,49.07,49.1,7.0
2015-10-22 00:50:00,49.07,49.07,49.07,49.07,1.0
2015-10-22 00:55:00,49.12,49.12,49.12,49.12,1.0
2015-10-22 01:00:00,48.99,48.99,48.97,48.97,3.0
2015-10-22 01:05:00,48.88,48.88,48.88,48.88,6.0
2015-10-22 01:10:00,48.84,48.84,48.8,48.8,3.0
2015-10-22 01:15:00,48.89,48.89,48.89,48.89,2.0
2015-10-22 01:20:00,48.87,48.87,48.87,48.87,1.0
2015-10-22 01:30:00,48.79,48.79,48.79,48.79,3.0
2015-10-22 01:35:00,48.9,48.91,48.87,48.87,7.0
2015-10-22 01:40:00,48.99,48.99,48.98,48.98,3.0
2015-10-22 01:50:00,48.94,49.0,48.94,48.97,15.0
2015-10-22 01:55:00,48.99,49.0,48.99,49.0,3.0
2015-10-22 02:00:00,48.94,48.94,48.89,48.89,5.0
2015-10-22 02:05:00,48.91,48.92,48.89,48.89,11.0
2015-10-22 02:10:00,48.89,48.93,48.88,48.93,3.0
2015-10-22 02:15:00,48.91,48.91,48.85,48.86,6.0
2015-10-22 02:20:00,48.8,48.89,48.8,48.82,16.0
2015-10-22 02:25:00,48.87,48.94,48.85,48.89,32.0
2015-10-22 02:30:00,48.92,48.92,48.91,48.91,7.0
2015-10-22 02:35:00,48.97,48.97,48.92,48.92,18.0
2015-10-22 02:40:00,48.93,48.94,48.93,48.94,11.0
2015-10-22 02:45:00,48.94,48.94,48.94,48.94,3.0
2015-10-22 02:50:00,48.92,48.92,48.92,48.92,2.0
2015-10-22 02:55:00,48.93,48.93,48.93,48.93,27.0
2015-10-22 03:00:00,48.93,48.93,48.9,48.9,6.0
2015-10-22 03:05:00,48.94,48.97,48.93,48.97,37.0
2015-10-22 03:15:00,48.88,48.88,48.88,48.88,3.0
2015-10-22 03:20:00,48.88,48.88,48.88,48.88,1.0
2015-10-22 03:25:00,48.91,48.91,48.91,48.91,1.0
2015-10-22 03:40:00,48.9,48.92,48.9,48.92,9.0
2015-10-22 03:50:00,48.85,48.85,48.85,48.85,1.0
2015-10-22 03:55:00,48.85,48.85,48.84,48.84,2.0
2015-10-22 04:20:00,48.9,48.9,48.9,48.9,1.0
2015-10-22 04:30:00,48.91,48.91,48.91,48.91,1.0
2015-10-22 04:35:00,48.89,48.89,48.89,48.89,1.0
2015-10-22 04:55:00,48.9,48.9,48.9,48.9,0.0
2015-10-22 10:10:00,49.1,49.1,49.1,49.1,2.0
2015-10-22 11:45:00,49.01,49.01,49.01,49.01,1.0
2015-10-22 13:40:00,49.08,49.08,49.08,49.08,1.0
2015-10-22 14:15:00,49.07,49.07,49.07,49.07,1.0
2015-10-22 14:50:00,49.1,49.1,49.06,49.06,4.0
2015-10-22 15:50:00,49.09,49.09,49.04,49.05,7.0
2015-10-22 15:55:00,49.02,49.02,49.01,49.01,2.0
2015-10-22 16:00:00,49.02,49.02,49.02,49.02,2.0
2015-10-22 16:05:00,49.03,49.05,49.02,49.05,3.0
2015-10-22 16:15:00,49.06,49.08,49.06,49.08,2.0
2015-10-22 16:25:00,49.16,49.21,49.16,49.21,5.0
2015-10-22 16:35:00,49.2,49.2,49.2,49.2,2.0
2015-10-22 16:40:00,49.18,49.23,49.18,49.23,4.0
2015-10-22 16:50:00,49.26,49.31,49.26,49.31,8.0
2015-10-22 17:05:00,49.2,49.2,49.2,49.2,1.0
2015-10-22 17:10:00,49.27,49.27,49.27,49.27,1.0
2015-10-22 17:20:00,49.3,49.32,49.3,49.32,2.0
2015-10-22 17:35:00,49.27,49.27,49.27,49.27,2.0
2015-10-22 17:45:00,49.23,49.23,49.23,49.23,1.0
2015-10-22 17:50:00,49.24,49.24,49.24,49.24,1.0
2015-10-22 17:55:00,49.28,49.28,49.28,49.28,1.0
2015-10-22 18:00:00,49.32,49.33,49.32,49.33,2.0
2015-10-22 18:20:00,49.32,49.32,49.32,49.32,1.0
2015-10-22 18:25:00,49.35,49.35,49.35,49.35,1.0
2015-10-22 18:30:00,49.38,49.46,49.38,49.46,4.0
2015-10-22 18:40:00,49.47,49.47,49.47,49.47,1.0
2015-10-22 18:50:00,49.44,49.44,49.44,49.44,2.0
2015-10-22 18:55:00,49.46,49.46,49.46,49.46,1.0
2015-10-22 19:00:00,49.47,49.5,49.47,49.5,4.0
2015-10-22 19:05:00,49.54,49.57,49.54,49.56,71.0
2015-10-22 19:10:00,49.56,49.56,49.56,49.56,3.0
2015-10-22 19:15:00,49.57,49.57,49.57,49.57,1.0
2015-10-22 19:25:00,49.5,49.5,49.49,49.49,2.0
2015-10-22 19:30:00,49.43,49.43,49.43,49.43,1.0
2015-10-22 19:35:00,49.49,49.49,49.49,49.49,2.0
2015-10-22 19:45:00,49.48,49.48,49.41,49.41,3.0
2015-10-22 19:55:00,49.4,49.4,49.4,49.4,1.0
2015-10-22 20:00:00,49.42,49.43,49.42,49.43,3.0
2015-10-22 20:05:00,49.42,49.42,49.41,49.41,2.0
2015-10-22 20:15:00,49.48,49.57,49.48,49.52,55.0
2015-10-22 20:20:00,49.54,49.57,49.53,49.55,101.0
2015-10-22 20:25:00,49.59,49.59,49.5,49.5,5.0
2015-10-22 20:30:00,49.52,49.52,49.45,49.45,11.0
2015-10-22 20:35:00,49.45,49.45,49.45,49.45,1.0
2015-10-22 20:40:00,49.38,49.41,49.38,49.41,8.0
2015-10-22 20:45:00,49.35,49.35,49.21,49.21,61.0
2015-10-22 20:50:00,49.25,49.25,49.25,49.25,1.0
2015-10-22 20:55:00,49.37,49.37,49.37,49.37,4.0
2015-10-22 21:00:00,49.31,49.32,49.16,49.2,16.0
2015-10-22 21:05:00,49.2,49.28,49.17,49.17,21.0
2015-10-22 21:10:00,49.23,49.31,49.23,49.31,4.0
2015-10-22 21:15:00,49.27,49.27,49.2,49.24,10.0
2015-10-22 21:20:00,49.25,49.35,49.25,49.33,9.0
2015-10-22 21:25:00,49.33,49.33,49.31,49.33,4.0
2015-10-22 21:30:00,49.33,49.33,49.27,49.28,4.0
2015-10-22 21:35:00,49.33,49.47,49.33,49.45,4.0
2015-10-22 21:40:00,49.47,49.67,49.47,49.67,4.0
2015-10-22 21:45:00,49.6,49.6,49.53,49.53,4.0
2015-10-22 21:50:00,49.56,49.59,49.55,49.55,3.0
2015-10-22 21:55:00,49.48,49.56,49.48,49.56,2.0
2015-10-22 22:00:00,49.6,49.6,49.47,49.51,28.0
2015-10-22 22:05:00,49.49,49.49,49.43,49.48,31.0
2015-10-22 22:10:00,49.43,49.43,49.39,49.39,2.0
2015-10-22 22:15:00,49.37,49.4,49.34,49.4,8.0
2015-10-22 22:20:00,49.38,49.39,49.32,49.32,23.0
2015-10-22 22:25:00,49.31,49.31,49.17,49.19,17.0
2015-10-22 22:30:00,49.17,49.17,49.17,49.17,3.0
2015-10-22 22:35:00,49.22,49.24,49.07,49.11,6.0
2015-10-22 22:40:00,49.14,49.14,49.14,49.14,1.0
2015-10-22 22:45:00,49.07,49.16,49.07,49.16,3.0
2015-10-22 22:50:00,49.24,49.24,49.24,49.24,2.0
2015-10-22 22:55:00,49.15,49.21,49.15,49.21,3.0
2015-10-22 23:05:00,49.19,49.25,49.19,49.22,5.0
2015-10-22 23:10:00,49.24,49.26,49.24,49.26,3.0
2015-10-22 23:15:00,49.29,49.29,49.29,49.29,1.0
2015-10-22 23:20:00,49.21,49.21,49.08,49.12,13.0
2015-10-22 23:30:00,49.05,49.05,49.03,49.03,3.0
2015-10-22 23:35:00,49.05,49.1,49.05,49.1,12.0
2015-10-22 23:40:00,49.19,49.19,49.16,49.17,19.0
2015-10-22 23:50:00,49.24,49.3,49.24,49.27,7.0
2015-10-22 23:55:00,49.27,49.28,49.24,49.24,9.0
2015-10-23 00:00:00,49.19,49.19,49.12,49.12,9.0
2015-10-23 00:05:00,49.17,49.18,49.16,49.18,4.0
2015-10-23 00:10:00,49.17,49.18,49.17,49.18,2.0
2015-10-23 00:15:00,49.13,49.13,48.99,48.99,11.0
2015-10-23 00:20:00,48.97,49.02,48.97,48.99,12.0
2015-10-23 00:25:00,48.97,49.06,48.95,49.06,12.0
2015-10-23 00:30:00,49.02,49.1,49.02,49.1,4.0
2015-10-23 00:35:00,49.06,49.06,49.04,49.05,10.0
2015-10-23 00:40:00,49.03,49.1,49.03,49.09,20.0
2015-10-23 00:45:00,49.1,49.15,49.1,49.12,24.0
2015-10-23 00:50:00,49.14,49.14,49.11,49.11,11.0
2015-10-23 00:55:00,49.12,49.12,49.0,49.03,11.0
2015-10-23 01:00:00,49.05,49.05,48.98,48.98,54.0
2015-10-23 01:05:00,48.97,49.0,48.94,48.95,55.0
2015-10-23 01:10:00,48.95,48.98,48.95,48.97,8.0
2015-10-23 01:15:00,48.95,48.95,48.86,48.91,64.0
2015-10-23 01:20:00,48.91,48.91,48.83,48.87,34.0
2015-10-23 01:25:00,48.85,48.91,48.8,48.91,66.0
2015-10-23 01:30:00,48.93,48.93,48.92,48.93,13.0
2015-10-23 01:35:00,48.95,48.98,48.95,48.98,13.0
2015-10-23 01:40:00,48.92,48.93,48.92,48.93,10.0
