DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-21 08:00:00,448.0,448.0,447.75,448.0,6.0
2015-10-21 08:50:00,448.25,448.25,448.25,448.25,3.0
2015-10-21 09:00:00,448.75,448.75,448.75,448.75,4.0
2015-10-21 09:40:00,448.25,448.25,448.25,448.25,1.0
2015-10-21 09:45:00,448.0,448.0,448.0,448.0,6.0
2015-10-21 10:00:00,448.25,448.25,448.25,448.25,1.0
2015-10-21 10:05:00,448.25,448.25,448.25,448.25,1.0
2015-10-21 10:20:00,448.0,448.0,448.0,448.0,2.0
2015-10-21 11:20:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 11:25:00,449.25,449.5,449.25,449.25,21.0
2015-10-21 11:30:00,449.25,449.25,449.25,449.25,20.0
2015-10-21 11:50:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 11:55:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 12:00:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 12:15:00,449.0,449.0,449.0,449.0,4.0
2015-10-21 12:25:00,449.0,449.0,449.0,449.0,8.0
2015-10-21 12:30:00,449.0,449.0,449.0,449.0,7.0
2015-10-21 12:55:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 13:00:00,448.75,448.75,448.75,448.75,1.0
2015-10-21 13:15:00,448.75,449.0,448.75,449.0,5.0
2015-10-21 13:30:00,449.0,449.0,448.75,448.75,7.0
2015-10-21 13:35:00,448.75,448.75,448.75,448.75,3.0
2015-10-21 13:40:00,449.0,449.0,449.0,449.0,5.0
2015-10-21 13:50:00,448.5,448.75,448.5,448.75,5.0
2015-10-21 13:55:00,449.0,449.0,448.5,448.5,14.0
2015-10-21 14:00:00,448.75,448.75,448.5,448.5,3.0
2015-10-21 14:05:00,448.5,448.5,448.25,448.25,22.0
2015-10-21 14:10:00,448.75,448.75,448.5,448.75,22.0
2015-10-21 14:15:00,448.75,448.75,448.75,448.75,9.0
2015-10-21 14:20:00,448.5,448.5,448.0,448.0,34.0
2015-10-21 14:25:00,448.0,448.0,447.75,447.75,2.0
2015-10-21 14:30:00,447.75,447.75,447.75,447.75,7.0
2015-10-21 14:35:00,447.5,447.75,447.5,447.75,10.0
2015-10-21 14:40:00,447.75,447.75,447.75,447.75,6.0
2015-10-21 14:45:00,447.75,448.0,447.75,447.75,61.0
2015-10-21 14:50:00,447.75,448.0,447.5,448.0,26.0
2015-10-21 14:55:00,448.0,448.0,447.5,447.75,27.0
2015-10-21 15:00:00,447.75,448.5,447.75,448.25,77.0
2015-10-21 15:05:00,448.25,448.25,447.75,447.75,51.0
2015-10-21 15:10:00,447.5,447.5,447.0,447.0,93.0
2015-10-21 15:15:00,447.0,447.0,445.5,445.5,86.0
2015-10-21 15:20:00,445.5,445.75,445.25,445.25,125.0
2015-10-21 15:25:00,445.25,445.25,444.5,445.0,121.0
2015-10-21 15:30:00,445.0,445.5,445.0,445.25,72.0
2015-10-21 15:35:00,445.25,445.25,444.5,444.75,66.0
2015-10-21 15:40:00,444.75,444.75,443.75,444.25,141.0
2015-10-21 15:45:00,444.25,445.0,444.25,445.0,63.0
2015-10-21 15:50:00,445.0,446.0,445.0,446.0,172.0
2015-10-21 15:55:00,446.0,446.75,446.0,446.25,257.0
2015-10-21 16:00:00,446.0,446.0,445.5,445.75,81.0
2015-10-21 16:05:00,446.0,446.0,445.5,446.0,50.0
2015-10-21 16:10:00,445.75,445.75,445.25,445.75,53.0
2015-10-21 16:15:00,445.75,446.25,445.75,446.25,153.0
2015-10-21 16:20:00,446.0,446.5,445.75,446.5,113.0
2015-10-21 16:25:00,446.5,448.75,446.5,448.5,749.0
2015-10-21 16:30:00,448.25,448.5,447.75,448.5,638.0
2015-10-21 16:35:00,448.25,448.25,447.75,447.75,43.0
2015-10-21 16:40:00,447.75,447.75,447.5,447.75,84.0
2015-10-21 16:45:00,447.75,448.0,447.5,448.0,66.0
2015-10-21 16:50:00,448.25,448.75,448.25,448.5,113.0
2015-10-21 16:55:00,448.5,448.5,448.0,448.0,51.0
2015-10-21 17:00:00,448.0,448.0,447.75,448.0,29.0
2015-10-21 17:05:00,448.0,448.5,448.0,448.5,95.0
2015-10-21 17:10:00,448.75,449.25,448.75,449.0,142.0
2015-10-21 17:15:00,449.0,450.0,448.75,450.0,143.0
2015-10-21 17:20:00,450.0,450.5,450.0,450.25,231.0
2015-10-21 17:25:00,450.25,450.25,449.75,450.0,144.0
2015-10-21 17:30:00,450.25,450.75,450.0,450.75,448.0
2015-10-21 17:35:00,450.75,450.75,450.5,450.5,87.0
2015-10-21 17:40:00,450.5,450.5,449.75,449.75,82.0
2015-10-21 17:45:00,450.0,450.0,449.25,449.25,40.0
2015-10-21 17:50:00,449.25,449.75,449.25,449.75,56.0
2015-10-21 17:55:00,449.75,449.75,449.25,449.25,54.0
2015-10-21 18:00:00,449.5,449.75,449.25,449.5,135.0
2015-10-21 18:05:00,449.5,449.5,449.0,449.0,332.0
2015-10-21 18:10:00,449.25,450.25,449.25,450.25,220.0
2015-10-21 18:15:00,450.0,450.5,449.75,450.25,123.0
2015-10-21 18:20:00,450.0,450.0,449.75,449.75,36.0
2015-10-21 18:25:00,449.5,450.25,449.5,450.25,65.0
2015-10-21 18:30:00,450.25,450.25,450.0,450.0,248.0
2015-10-21 18:35:00,450.25,450.25,450.0,450.25,76.0
2015-10-21 18:40:00,450.25,450.25,450.25,450.25,59.0
2015-10-21 18:45:00,450.0,450.5,450.0,450.5,100.0
2015-10-21 18:50:00,450.5,450.5,450.0,450.25,30.0
2015-10-21 18:55:00,450.0,450.5,450.0,450.5,86.0
2015-10-21 19:00:00,450.5,450.5,450.25,450.5,87.0
2015-10-21 19:05:00,450.5,450.75,450.5,450.5,22.0
2015-10-21 19:10:00,450.25,450.5,450.25,450.5,50.0
2015-10-21 19:15:00,450.5,450.5,450.25,450.25,31.0
2015-10-21 19:20:00,450.25,450.5,450.25,450.25,17.0
2015-10-21 19:25:00,450.5,450.5,450.0,450.5,60.0
2015-10-21 19:30:00,450.25,450.75,450.25,450.75,172.0
2015-10-21 19:35:00,450.75,450.75,450.25,450.5,37.0
2015-10-21 19:40:00,450.5,450.5,450.25,450.25,97.0
2015-10-21 19:45:00,450.5,450.5,450.0,450.0,147.0
2015-10-21 19:50:00,450.25,450.75,450.25,450.25,140.0
2015-10-21 19:55:00,450.5,450.5,450.0,450.25,82.0
2015-10-21 20:00:00,450.5,450.5,450.25,450.5,81.0
2015-10-21 20:05:00,450.5,450.5,450.25,450.25,20.0
2015-10-21 20:10:00,450.0,450.0,449.0,449.25,361.0
2015-10-21 20:15:00,449.25,449.25,448.75,449.25,124.0
2015-10-21 20:20:00,449.25,449.5,449.25,449.25,91.0
2015-10-21 20:25:00,449.0,449.0,448.0,448.25,90.0
2015-10-21 20:30:00,448.25,448.25,447.75,448.0,169.0
2015-10-21 20:35:00,448.0,448.25,447.75,448.25,62.0
2015-10-21 20:40:00,448.25,448.25,447.5,447.75,300.0
2015-10-21 20:45:00,447.75,448.5,447.5,448.25,224.0
2015-10-21 20:50:00,448.25,448.75,448.0,448.5,101.0
2015-10-21 20:55:00,448.5,448.5,447.75,448.0,103.0
2015-10-21 21:00:00,448.0,448.25,447.25,447.75,263.0
2015-10-21 21:05:00,447.75,448.75,447.75,448.25,224.0
2015-10-21 21:10:00,448.0,449.0,447.75,448.75,313.0
2015-10-21 21:15:00,448.75,448.75,448.25,448.5,185.0
2015-10-21 21:20:00,448.5,449.0,448.5,448.5,97.0
2015-10-21 21:25:00,448.75,448.75,447.5,448.0,262.0
2015-10-21 21:30:00,448.25,448.75,448.0,448.75,302.0
2015-10-21 21:35:00,448.5,448.5,447.75,448.0,78.0
2015-10-21 21:40:00,448.0,448.75,448.0,448.5,115.0
2015-10-21 21:45:00,448.5,448.5,448.0,448.0,109.0
2015-10-21 21:50:00,447.75,447.75,446.5,446.5,205.0
2015-10-21 21:55:00,446.5,447.0,446.25,446.25,299.0
2015-10-21 22:00:00,446.25,446.5,445.75,446.25,260.0
2015-10-21 22:05:00,446.0,446.5,445.75,446.0,122.0
2015-10-21 22:10:00,446.0,446.25,445.5,445.5,155.0
2015-10-21 22:15:00,445.5,445.5,444.25,444.5,995.0
2015-10-21 22:20:00,444.5,445.0,444.0,445.0,380.0
2015-10-21 22:25:00,445.0,446.25,444.75,445.0,208.0
2015-10-21 22:30:00,445.0,446.5,444.5,445.75,374.0
2015-10-21 22:35:00,445.75,448.25,445.75,447.0,659.0
2015-10-21 22:40:00,447.25,448.0,447.0,447.75,532.0
2015-10-21 22:45:00,447.75,447.75,446.75,446.75,454.0
2015-10-21 22:50:00,446.5,446.75,446.25,446.75,180.0
2015-10-21 22:55:00,446.5,448.25,446.5,448.0,382.0
2015-10-21 23:00:00,448.25,448.75,446.5,446.75,600.0
2015-10-21 23:05:00,446.5,447.0,446.0,446.75,233.0
2015-10-21 23:10:00,447.0,447.75,446.75,447.75,193.0
2015-10-21 23:15:00,448.0,450.0,448.0,449.5,641.0
2015-10-21 23:20:00,449.5,451.5,449.5,450.5,681.0
2015-10-21 23:25:00,450.5,450.75,449.0,449.25,1014.0
2015-10-21 23:30:00,449.5,449.5,448.5,448.75,395.0
2015-10-21 23:35:00,448.75,448.75,448.25,448.75,244.0
2015-10-21 23:40:00,449.0,449.75,449.0,449.5,106.0
2015-10-21 23:45:00,449.25,449.5,447.5,449.5,209.0
2015-10-21 23:50:00,448.0,448.0,447.0,447.25,285.0
2015-10-21 23:55:00,447.25,447.5,446.5,446.5,295.0
2015-10-22 00:00:00,446.5,449.5,446.0,446.75,134.0
2015-10-22 00:05:00,446.75,447.5,446.75,447.25,183.0
2015-10-22 00:10:00,447.25,447.25,446.75,447.25,141.0
2015-10-22 00:15:00,447.5,447.75,446.75,447.25,138.0
2015-10-22 00:20:00,447.25,448.25,447.25,448.25,148.0
2015-10-22 00:25:00,448.25,448.5,447.5,447.5,63.0
2015-10-22 00:30:00,447.5,447.5,447.0,447.0,107.0
2015-10-22 00:35:00,447.25,447.75,447.25,447.75,61.0
2015-10-22 00:40:00,448.0,448.5,447.25,447.25,97.0
2015-10-22 00:45:00,447.25,447.75,447.0,447.75,21.0
2015-10-22 00:50:00,448.0,448.75,448.0,448.5,61.0
2015-10-22 00:55:00,448.5,448.75,447.5,447.5,110.0
2015-10-22 01:00:00,447.5,447.5,446.75,446.75,42.0
2015-10-22 01:05:00,446.75,446.75,446.25,446.5,36.0
2015-10-22 01:10:00,446.25,446.25,445.75,446.0,57.0
2015-10-22 01:15:00,446.25,446.5,445.75,446.0,46.0
2015-10-22 01:20:00,446.0,446.75,446.0,446.75,23.0
2015-10-22 01:25:00,446.5,446.75,446.0,446.0,44.0
2015-10-22 01:30:00,445.75,446.75,445.5,446.75,61.0
2015-10-22 01:35:00,446.75,446.75,446.25,446.25,41.0
2015-10-22 01:40:00,446.0,447.0,445.75,446.5,68.0
2015-10-22 01:45:00,446.25,447.0,446.25,446.5,63.0
2015-10-22 01:50:00,446.5,447.25,446.25,446.75,60.0
2015-10-22 01:55:00,447.0,447.25,446.75,447.0,39.0
2015-10-22 02:00:00,447.0,447.0,446.25,446.25,35.0
2015-10-22 02:05:00,446.25,446.75,446.0,446.0,78.0
2015-10-22 02:10:00,446.25,447.25,446.0,446.75,121.0
2015-10-22 02:15:00,446.5,447.0,446.0,446.0,147.0
2015-10-22 02:20:00,445.5,446.75,445.5,446.25,313.0
2015-10-22 02:25:00,446.5,447.5,446.25,447.25,361.0
2015-10-22 02:30:00,447.25,447.25,446.5,447.25,121.0
2015-10-22 02:35:00,447.25,447.5,447.25,447.25,52.0
2015-10-22 02:40:00,447.5,447.5,447.0,447.25,72.0
2015-10-22 02:45:00,447.25,447.5,447.25,447.5,25.0
2015-10-22 02:50:00,447.5,447.75,447.5,447.75,12.0
2015-10-22 02:55:00,447.75,447.75,447.5,447.75,11.0
2015-10-22 03:00:00,448.0,448.0,447.75,447.75,7.0
2015-10-22 03:05:00,447.75,448.0,447.75,448.0,11.0
2015-10-22 03:10:00,447.75,447.75,447.25,447.5,80.0
2015-10-22 03:15:00,447.25,447.5,447.0,447.0,30.0
2015-10-22 03:20:00,447.25,447.25,447.0,447.0,26.0
2015-10-22 03:25:00,446.75,447.25,446.75,447.25,23.0
2015-10-22 03:30:00,447.5,447.75,447.5,447.75,11.0
2015-10-22 03:35:00,447.75,447.75,447.5,447.5,7.0
2015-10-22 03:40:00,447.5,447.5,447.25,447.5,23.0
2015-10-22 03:45:00,447.5,447.5,447.25,447.25,15.0
2015-10-22 03:50:00,447.25,447.25,447.0,447.0,8.0
2015-10-22 03:55:00,447.25,447.5,447.0,447.25,38.0
2015-10-22 04:00:00,447.0,447.5,447.0,447.5,34.0
2015-10-22 04:05:00,447.5,447.5,447.25,447.5,19.0
2015-10-22 04:10:00,447.5,447.5,447.25,447.5,9.0
2015-10-22 04:15:00,447.25,447.75,447.25,447.5,20.0
2015-10-22 04:20:00,447.75,448.0,447.5,448.0,9.0
2015-10-22 04:25:00,447.75,447.75,447.75,447.75,3.0
2015-10-22 04:35:00,448.0,448.0,447.75,447.75,12.0
2015-10-22 04:55:00,447.75,448.25,447.75,448.25,12.0
2015-10-22 05:55:00,449.5,449.5,449.5,449.5,0.0
2015-10-22 08:00:00,447.0,448.25,447.0,448.25,11.0
2015-10-22 08:05:00,448.0,448.0,448.0,448.0,4.0
2015-10-22 08:40:00,448.25,448.25,448.25,448.25,6.0
2015-10-22 09:15:00,448.5,449.0,448.5,449.0,80.0
2015-10-22 09:20:00,449.0,449.0,449.0,449.0,11.0
2015-10-22 09:25:00,449.0,449.0,449.0,449.0,4.0
2015-10-22 09:30:00,449.0,449.0,449.0,449.0,6.0
2015-10-22 09:40:00,448.75,448.75,448.75,448.75,2.0
2015-10-22 10:00:00,448.75,449.0,448.75,449.0,4.0
2015-10-22 10:20:00,449.25,449.25,449.25,449.25,3.0
2015-10-22 10:30:00,449.0,449.0,449.0,449.0,1.0
2015-10-22 10:50:00,449.0,449.5,449.0,449.5,19.0
