DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-10-21 06:00:00,15.9,15.905,15.885,15.905,24.0
2015-10-21 06:05:00,15.905,15.915,15.905,15.91,30.0
2015-10-21 06:10:00,15.905,15.92,15.905,15.92,38.0
2015-10-21 06:15:00,15.92,15.92,15.91,15.91,47.0
2015-10-21 06:20:00,15.905,15.905,15.895,15.9,27.0
2015-10-21 06:25:00,15.895,15.895,15.885,15.885,18.0
2015-10-21 06:30:00,15.89,15.89,15.885,15.89,33.0
2015-10-21 06:35:00,15.89,15.895,15.885,15.895,6.0
2015-10-21 06:40:00,15.885,15.885,15.88,15.88,17.0
2015-10-21 06:45:00,15.88,15.89,15.875,15.875,54.0
2015-10-21 06:50:00,15.875,15.875,15.86,15.86,65.0
2015-10-21 06:55:00,15.86,15.88,15.855,15.87,47.0
2015-10-21 07:00:00,15.87,15.875,15.865,15.865,12.0
2015-10-21 07:05:00,15.865,15.875,15.855,15.875,43.0
2015-10-21 07:10:00,15.87,15.89,15.87,15.89,52.0
2015-10-21 07:15:00,15.885,15.895,15.88,15.89,22.0
2015-10-21 07:20:00,15.885,15.885,15.885,15.885,6.0
2015-10-21 07:25:00,15.88,15.89,15.88,15.89,23.0
2015-10-21 07:30:00,15.885,15.905,15.885,15.905,68.0
2015-10-21 07:35:00,15.905,15.915,15.905,15.91,54.0
2015-10-21 07:40:00,15.915,15.92,15.91,15.91,79.0
2015-10-21 07:45:00,15.915,15.935,15.91,15.93,132.0
2015-10-21 07:50:00,15.935,15.94,15.93,15.93,53.0
2015-10-21 07:55:00,15.93,15.935,15.91,15.92,95.0
2015-10-21 08:00:00,15.92,15.925,15.91,15.92,49.0
2015-10-21 08:05:00,15.915,15.915,15.9,15.905,75.0
2015-10-21 08:10:00,15.905,15.91,15.905,15.91,12.0
2015-10-21 08:15:00,15.905,15.905,15.885,15.885,80.0
2015-10-21 08:20:00,15.885,15.895,15.88,15.88,97.0
2015-10-21 08:25:00,15.88,15.895,15.875,15.885,59.0
2015-10-21 08:30:00,15.885,15.905,15.88,15.9,63.0
2015-10-21 08:35:00,15.9,15.905,15.89,15.89,38.0
2015-10-21 08:40:00,15.89,15.91,15.885,15.91,61.0
2015-10-21 08:45:00,15.905,15.915,15.905,15.915,69.0
2015-10-21 08:50:00,15.915,15.925,15.91,15.91,137.0
