Date,Open,High,Low,Close,Volume
26/2/2016 16:00,19225,19225,19225,19225,0
26/2/2016 15:45,19225,19226,19224,19225,204
26/2/2016 15:30,19225,19229,19224,19226,70
26/2/2016 15:15,19215,19236,19215,19225,289
26/2/2016 15:00,19200,19216,19198,19214,114
26/2/2016 14:45,19191,19201,19189,19199,76
26/2/2016 14:30,19184,19198,19184,19191,56
26/2/2016 14:15,19187,19197,19182,19186,177
26/2/2016 14:00,19178,19190,19174,19182,159
26/2/2016 13:45,19176,19188,19173,19176,108
26/2/2016 13:30,19165,19182,19157,19179,131
26/2/2016 13:15,19190,19190,19152,19162,353
26/2/2016 13:00,19197,19205,19191,19192,153
26/2/2016 11:45,19206,19211,19193,19196,159
26/2/2016 11:30,19210,19216,19200,19207,156
26/2/2016 11:15,19184,19217,19184,19210,213
26/2/2016 11:00,19213,19216,19179,19183,295
26/2/2016 10:45,19231,19233,19190,19212,363
26/2/2016 10:30,19225,19238,19211,19229,356
26/2/2016 10:15,19213,19224,19180,19224,362
26/2/2016 10:00,19187,19231,19175,19213,471
26/2/2016 9:45,19192,19236,19171,19187,892
26/2/2016 9:30,19238,19276,19191,19191,1093
26/2/2016 9:15,19197,19268,19158,19240,1315
26/2/2016 9:00,19180,19197,19180,19197,123
25/2/2016 16:00,18901,18960,18900,18912,3222
25/2/2016 15:45,18896,18912,18884,18903,3212
25/2/2016 15:30,18901,18916,18880,18895,2086
25/2/2016 15:15,18881,18903,18850,18902,2121
25/2/2016 15:00,18923,18933,18854,18884,3092
25/2/2016 14:45,18895,18938,18862,18923,3049
25/2/2016 14:30,18911,18942,18890,18893,2954
25/2/2016 14:15,18955,18969,18906,18912,2797
25/2/2016 14:00,18987,18995,18946,18956,2670
25/2/2016 13:45,18967,19027,18965,18988,3579
25/2/2016 13:30,18958,18986,18937,18968,2849
25/2/2016 13:15,18947,18982,18945,18957,2701
25/2/2016 13:00,18970,18999,18936,18948,3721
25/2/2016 11:45,18927,18949,18922,18943,1610
25/2/2016 11:30,18999,19009,18896,18929,4681
25/2/2016 11:15,19055,19070,18997,19000,3618
25/2/2016 11:00,19103,19115,19055,19055,3315
25/2/2016 10:45,19113,19114,19078,19102,3737
25/2/2016 10:30,19075,19115,19057,19111,3669
25/2/2016 10:15,19075,19106,19057,19076,3637
25/2/2016 10:00,19036,19087,19024,19075,4369
25/2/2016 9:45,19048,19069,19010,19037,5265
25/2/2016 9:30,19184,19208,19034,19048,7915
25/2/2016 9:15,19180,19209,19150,19184,4579
25/2/2016 9:00,19175,19189,19171,19181,309
24/2/2016 16:00,19174,19189,19152,19152,3659
24/2/2016 15:45,19188,19205,19160,19174,3473
24/2/2016 15:30,19203,19214,19183,19187,2544
24/2/2016 15:15,19160,19210,19154,19203,3073
24/2/2016 15:00,19166,19182,19146,19162,2998
24/2/2016 14:45,19167,19172,19135,19166,3257
24/2/2016 14:30,19159,19196,19157,19167,4339
24/2/2016 14:15,19128,19163,19118,19158,3363
24/2/2016 14:00,19124,19149,19109,19127,2872
24/2/2016 13:45,19141,19143,19105,19124,2919
24/2/2016 13:30,19113,19150,19093,19141,3766
24/2/2016 13:15,19122,19124,19087,19113,3309
24/2/2016 13:00,19109,19122,19074,19121,3739
