Date,Open,High,Low,Close,Volume
28/1/2016 16:00,19094,19094,19094,19094,0
28/1/2016 15:45,19092,19095,19092,19095,291
28/1/2016 15:30,19091,19095,19091,19093,154
28/1/2016 15:15,19083,19093,19081,19093,182
28/1/2016 15:00,19083,19090,19083,19086,147
28/1/2016 14:45,19075,19087,19071,19085,407
28/1/2016 14:30,19088,19090,19076,19076,211
28/1/2016 14:15,19099,19105,19087,19087,238
28/1/2016 14:00,19086,19103,19084,19099,423
28/1/2016 13:45,19083,19087,19069,19085,240
28/1/2016 13:30,19091,19112,19080,19085,408
28/1/2016 13:15,19103,19111,19086,19090,258
28/1/2016 13:00,19106,19120,19082,19105,437
28/1/2016 11:45,19103,19111,19089,19109,265
28/1/2016 11:30,19132,19134,19093,19102,336
28/1/2016 11:15,19140,19153,19122,19136,390
28/1/2016 11:00,19138,19166,19113,19143,576
28/1/2016 10:45,19152,19155,19108,19137,579
28/1/2016 10:30,19149,19188,19140,19153,469
28/1/2016 10:15,19191,19201,19146,19150,449
28/1/2016 10:00,19202,19230,19164,19186,848
28/1/2016 9:45,19140,19203,19120,19202,1227
28/1/2016 9:30,19095,19146,19020,19140,1477
28/1/2016 9:15,19034,19120,19027,19095,1308
28/1/2016 9:00,19033,19033,19012,19033,118
27/1/2016 16:00,19054,19061,19000,19010,2775
27/1/2016 15:45,19032,19082,19030,19054,3235
27/1/2016 15:30,19089,19090,19024,19032,3204
27/1/2016 15:15,19076,19104,19064,19090,2346
27/1/2016 15:00,19100,19140,19071,19077,3554
27/1/2016 14:45,19102,19107,19064,19100,3584
27/1/2016 14:30,19177,19178,19091,19101,4249
27/1/2016 14:15,18996,19189,18994,19177,7319
27/1/2016 14:00,19018,19032,18978,18996,3850
27/1/2016 13:45,19063,19077,19020,19020,4463
27/1/2016 13:30,19041,19065,19007,19062,4342
27/1/2016 13:15,18968,19056,18968,19041,5524
27/1/2016 13:00,18986,18993,18922,18967,4359
27/1/2016 11:45,18943,18989,18939,18965,1703
27/1/2016 11:30,19009,19012,18926,18944,4246
27/1/2016 11:15,19078,19078,19005,19007,4020
27/1/2016 11:00,19069,19084,19028,19077,5107
27/1/2016 10:45,19066,19111,19062,19068,3937
27/1/2016 10:30,19107,19121,19038,19067,4362
27/1/2016 10:15,19089,19112,19051,19107,5921
27/1/2016 10:00,19116,19131,19047,19090,6376
27/1/2016 9:45,19172,19199,19099,19117,6927
