Date,Open,High,Low,Close,Volume
27/11/2015 16:00,22211,22211,22211,22211,0
27/11/2015 15:45,22212,22213,22211,22212,227
27/11/2015 15:30,22211,22216,22208,22213,299
27/11/2015 15:15,22224,22226,22210,22211,201
27/11/2015 15:00,22216,22225,22214,22225,180
27/11/2015 14:45,22201,22224,22196,22214,287
27/11/2015 14:30,22206,22215,22190,22199,177
27/11/2015 14:15,22206,22219,22195,22207,271
27/11/2015 14:00,22249,22251,22202,22206,283
27/11/2015 13:45,22254,22259,22242,22247,169
27/11/2015 13:30,22243,22261,22239,22254,227
27/11/2015 13:15,22265,22268,22228,22242,247
27/11/2015 13:00,22253,22270,22242,22263,380
27/11/2015 11:45,22247,22255,22243,22245,104
27/11/2015 11:30,22247,22267,22237,22248,200
27/11/2015 11:15,22278,22280,22235,22243,350
27/11/2015 11:00,22282,22294,22259,22282,292
27/11/2015 10:45,22323,22330,22275,22283,398
27/11/2015 10:30,22337,22350,22306,22318,346
27/11/2015 10:15,22308,22343,22281,22334,639
27/11/2015 10:00,22322,22365,22295,22310,610
27/11/2015 9:45,22445,22445,22308,22324,1130
27/11/2015 9:30,22505,22507,22430,22448,1074
27/11/2015 9:15,22570,22592,22477,22504,936
27/11/2015 9:00,22574,22583,22564,22564,51
26/11/2015 16:00,22507,22539,22495,22525,2054
26/11/2015 15:45,22515,22544,22483,22508,3050
26/11/2015 15:30,22492,22514,22471,22513,1847
26/11/2015 15:15,22471,22495,22454,22494,1822
26/11/2015 15:00,22496,22497,22453,22471,2494
26/11/2015 14:45,22511,22513,22464,22497,2618
26/11/2015 14:30,22528,22528,22435,22511,6360
26/11/2015 14:15,22634,22646,22508,22530,5797
26/11/2015 14:00,22681,22696,22623,22635,3040
26/11/2015 13:45,22683,22704,22674,22682,1648
26/11/2015 13:30,22675,22695,22671,22684,2009
26/11/2015 13:15,22699,22717,22674,22676,2556
26/11/2015 13:00,22754,22763,22673,22699,3744
26/11/2015 11:45,22737,22761,22733,22755,1045
26/11/2015 11:30,22741,22749,22730,22738,918
26/11/2015 11:15,22731,22751,22722,22740,1797
26/11/2015 11:00,22727,22752,22721,22732,2587
26/11/2015 10:45,22756,22769,22728,22728,2297
26/11/2015 10:30,22762,22770,22735,22756,2516
26/11/2015 10:15,22748,22784,22748,22763,2630
26/11/2015 10:00,22745,22757,22719,22749,2424
26/11/2015 9:45,22754,22762,22708,22747,4086
26/11/2015 9:30,22844,22844,22738,22752,5441
26/11/2015 9:15,22700,23055,22684,22845,7682
26/11/2015 9:00,22613,22700,22613,22699,224
25/11/2015 16:00,22517,22530,22459,22494,2648
25/11/2015 15:45,22505,22520,22482,22519,3373
25/11/2015 15:30,22543,22543,22491,22503,3494
25/11/2015 15:15,22546,22571,22530,22541,2681
25/11/2015 15:00,22592,22597,22534,22545,3263
25/11/2015 14:45,22594,22607,22573,22590,2273
25/11/2015 14:30,22588,22610,22554,22595,3334
25/11/2015 14:15,22561,22593,22550,22588,3070
25/11/2015 14:00,22588,22605,22550,22560,3799
25/11/2015 13:45,22608,22633,22581,22586,3245
25/11/2015 13:30,22565,22621,22548,22608,5021
25/11/2015 13:15,22491,22595,22483,22563,6408
25/11/2015 13:00,22495,22520,22486,22490,3181
25/11/2015 11:45,22475,22490,22475,22490,847
25/11/2015 11:30,22505,22516,22470,22474,2478
25/11/2015 11:15,22476,22506,22456,22503,3271
25/11/2015 11:00,22497,22501,22468,22475,3161
25/11/2015 10:45,22527,22529,22494,22497,2791
25/11/2015 10:30,22481,22528,22476,22528,4850
