Date,Open,High,Low,Close,Volume
29/10/2015 16:00,22894,22894,22894,22894,0
29/10/2015 15:45,22895,22897,22894,22895,172
29/10/2015 15:30,22895,22898,22893,22895,87
29/10/2015 15:15,22899,22899,22888,22895,104
29/10/2015 15:00,22898,22905,22891,22900,124
29/10/2015 14:45,22899,22899,22886,22897,163
29/10/2015 14:30,22911,22911,22892,22899,112
29/10/2015 14:15,22925,22925,22904,22916,95
29/10/2015 14:00,22920,22925,22904,22924,108
29/10/2015 13:45,22928,22947,22910,22918,217
29/10/2015 13:30,22901,22925,22891,22925,88
29/10/2015 13:15,22896,22910,22891,22901,188
29/10/2015 13:00,22896,22900,22871,22894,248
29/10/2015 11:45,22937,22937,22885,22891,192
29/10/2015 11:30,22905,22952,22905,22935,275
29/10/2015 11:15,22898,22913,22886,22903,253
29/10/2015 11:00,22880,22915,22871,22897,258
29/10/2015 10:45,22854,22895,22850,22885,319
29/10/2015 10:30,22948,22948,22852,22854,623
29/10/2015 10:15,22965,22970,22925,22943,496
29/10/2015 10:00,22920,22980,22919,22962,668
29/10/2015 9:45,23003,23005,22892,22920,1007
29/10/2015 9:30,23058,23075,23002,23003,620
29/10/2015 9:15,23043,23079,23029,23056,695
29/10/2015 9:00,23030,23042,23030,23032,82
28/10/2015 16:00,22961,22989,22955,22978,2062
28/10/2015 15:45,22962,22965,22938,22962,1510
28/10/2015 15:30,22950,22980,22950,22962,1433
28/10/2015 15:15,22945,22970,22930,22951,1600
28/10/2015 15:00,23007,23008,22927,22946,3457
28/10/2015 14:45,23016,23018,22993,23007,2132
28/10/2015 14:30,23031,23040,23005,23017,1882
28/10/2015 14:15,23028,23046,23017,23033,1754
28/10/2015 14:00,23031,23040,23014,23028,1842
28/10/2015 13:45,23020,23045,23012,23031,2049
28/10/2015 13:30,23015,23027,22995,23020,2354
28/10/2015 13:15,22992,23032,22985,23014,1987
28/10/2015 13:00,23018,23034,22992,22992,2495
28/10/2015 11:45,22998,23021,22998,23021,831
28/10/2015 11:30,22998,23010,22986,22998,1241
28/10/2015 11:15,23021,23024,22982,22995,3541
28/10/2015 11:00,23033,23042,23009,23021,2966
28/10/2015 10:45,23029,23053,23009,23033,2869
28/10/2015 10:30,23049,23059,22992,23027,4316
28/10/2015 10:15,23078,23092,23047,23048,3395
28/10/2015 10:00,23111,23130,23076,23077,4190
28/10/2015 9:45,23054,23110,23046,23110,4948
28/10/2015 9:30,23028,23080,23007,23054,4437
28/10/2015 9:15,23041,23048,22992,23030,2600
28/10/2015 9:00,23037,23043,23037,23038,117
27/10/2015 16:00,23126,23131,23067,23070,2518
27/10/2015 15:45,23056,23130,23046,23127,3129
27/10/2015 15:30,23080,23087,23047,23056,2448
27/10/2015 15:15,23112,23121,23065,23080,2029
27/10/2015 15:00,23085,23115,23073,23112,1892
27/10/2015 14:45,23125,23138,23072,23083,3339
27/10/2015 14:30,23066,23150,23065,23123,4750
27/10/2015 14:15,23073,23098,23046,23066,3722
27/10/2015 14:00,23029,23085,23029,23073,4911
27/10/2015 13:45,22980,23033,22963,23029,3379
27/10/2015 13:30,23010,23018,22979,22980,2888
27/10/2015 13:15,22981,23027,22974,23008,4358
27/10/2015 13:00,22945,22989,22923,22982,4308
27/10/2015 11:45,22932,22952,22924,22944,1110
27/10/2015 11:30,22929,22936,22918,22932,1284
27/10/2015 11:15,22924,22940,22894,22929,3280
27/10/2015 11:00,22928,22945,22918,22922,2784
27/10/2015 10:45,22935,22955,22903,22930,3862
27/10/2015 10:30,22932,22952,22898,22936,5259
27/10/2015 10:15,23005,23011,22922,22933,6029
27/10/2015 10:00,23043,23044,23000,23006,4124
27/10/2015 9:45,23018,23054,23010,23044,3996
27/10/2015 9:30,23065,23075,22985,23020,6508
27/10/2015 9:15,23109,23114,23046,23064,4133
27/10/2015 9:00,23129,23129,23105,23105,171
26/10/2015 16:00,23104,23108,23036,23043,2740
26/10/2015 15:45,23099,23111,23083,23104,2454
26/10/2015 15:30,23090,23116,23087,23097,1853
26/10/2015 15:15,23115,23116,23077,23089,2497
26/10/2015 15:00,23111,23128,23102,23116,2066
26/10/2015 14:45,23064,23131,23061,23111,3274
26/10/2015 14:30,23074,23095,23060,23062,3108
26/10/2015 14:15,23140,23158,23057,23075,4742
26/10/2015 14:00,23143,23163,23130,23142,2484
26/10/2015 13:45,23139,23156,23117,23143,3563
26/10/2015 13:30,23210,23210,23116,23140,3685
26/10/2015 13:15,23160,23215,23131,23210,4543
26/10/2015 13:00,23221,23228,23107,23158,5814
26/10/2015 11:45,23223,23229,23217,23218,657
26/10/2015 11:30,23235,23240,23218,23224,891
26/10/2015 11:15,23221,23239,23209,23237,2422
26/10/2015 11:00,23236,23254,23217,23221,3312
26/10/2015 10:45,23209,23240,23183,23236,4977
26/10/2015 10:30,23240,23270,23210,23210,4402
26/10/2015 10:15,23268,23293,23235,23239,4409
26/10/2015 10:00,23310,23333,23255,23267,5133
26/10/2015 9:45,23309,23348,23269,23310,6628
26/10/2015 9:30,23363,23382,23293,23309,7101
26/10/2015 9:15,23415,23417,23344,23361,5291
26/10/2015 9:00,23415,23419,23410,23416,264
23/10/2015 16:00,23159,23188,23158,23180,2985
23/10/2015 15:45,23154,23164,23132,23161,3571
23/10/2015 15:30,23174,23177,23150,23155,2227
23/10/2015 15:15,23171,23184,23164,23174,1723
23/10/2015 15:00,23165,23172,23143,23169,2669
23/10/2015 14:45,23170,23174,23147,23166,2757
23/10/2015 14:30,23186,23193,23163,23170,2167
23/10/2015 14:15,23172,23194,23170,23186,2779
23/10/2015 14:00,23180,23195,23161,23171,3020
23/10/2015 13:45,23158,23189,23156,23180,3227
23/10/2015 13:30,23165,23168,23147,23155,1897
23/10/2015 13:15,23142,23168,23132,23165,2615
23/10/2015 13:00,23159,23159,23126,23142,3020
23/10/2015 11:45,23175,23177,23157,23164,1390
23/10/2015 11:30,23177,23187,23172,23175,1101
23/10/2015 11:15,23184,23191,23160,23178,3058
23/10/2015 11:00,23174,23188,23142,23186,4152
23/10/2015 10:45,23170,23192,23151,23175,4813
23/10/2015 10:30,23154,23170,23126,23170,5183
23/10/2015 10:15,23159,23184,23142,23153,4001
23/10/2015 10:00,23147,23200,23144,23160,6054
23/10/2015 9:45,23142,23169,23090,23148,7331
23/10/2015 9:30,23227,23227,23142,23144,7462
23/10/2015 9:15,23287,23289,23216,23225,5333
23/10/2015 9:00,23284,23288,23282,23282,394
