DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-11-11 09:15:00,90.6,90.7,90.6,90.7,86000.0
2015-11-11 09:30:00,90.75,90.9,90.45,90.45,765000.0
2015-11-11 09:45:00,90.5,90.6,90.3,90.35,802000.0
2015-11-11 10:00:00,90.3,90.35,90.2,90.3,385000.0
2015-11-11 10:15:00,90.3,90.45,90.3,90.45,318500.0
2015-11-11 10:30:00,90.45,90.75,90.45,90.65,313500.0
2015-11-11 10:45:00,90.65,90.65,90.5,90.55,168500.0
2015-11-11 11:00:00,90.6,90.65,90.55,90.65,149000.0
2015-11-11 11:15:00,90.65,90.8,90.6,90.7,280000.0
2015-11-11 11:30:00,90.7,90.7,90.6,90.6,176000.0
2015-11-11 11:45:00,90.6,90.6,90.55,90.6,220000.0
2015-11-11 12:45:00,90.55,90.55,90.55,90.55,5000.0
2015-11-11 13:00:00,90.6,90.65,90.5,90.55,188000.0
2015-11-11 13:15:00,90.55,90.7,90.55,90.6,176500.0
2015-11-11 13:30:00,90.55,90.6,90.35,90.4,357000.0
2015-11-11 13:45:00,90.45,90.45,90.3,90.35,394500.0
2015-11-11 14:00:00,90.3,90.4,90.3,90.35,251000.0
2015-11-11 14:15:00,90.4,90.5,90.35,90.5,155500.0
2015-11-11 14:30:00,90.5,90.65,90.45,90.55,266500.0
2015-11-11 14:45:00,90.6,90.6,90.45,90.6,181500.0
2015-11-11 15:00:00,90.6,90.6,90.5,90.55,162500.0
2015-11-11 15:15:00,90.55,90.55,90.45,90.45,224000.0
2015-11-11 15:30:00,90.45,90.55,90.35,90.5,574000.0
2015-11-11 15:45:00,90.5,90.6,90.2,90.2,1870000.0
2015-11-11 16:00:00,90.25,90.25,90.25,90.25,0.0
2015-11-12 09:15:00,91.2,91.25,91.15,91.25,236000.0
2015-11-12 09:30:00,91.25,92.2,91.2,91.85,1188000.0
2015-11-12 09:45:00,91.8,92.35,91.7,92.35,687000.0
2015-11-12 10:00:00,92.35,92.35,91.8,91.9,509000.0
2015-11-12 10:15:00,91.9,92.0,91.85,91.9,220000.0
2015-11-12 10:30:00,91.9,91.95,91.6,91.85,439000.0
2015-11-12 10:45:00,91.9,92.05,91.85,91.9,327000.0
2015-11-12 11:00:00,91.9,92.25,91.9,92.05,321500.0
2015-11-12 11:15:00,92.1,92.25,92.05,92.2,302500.0
2015-11-12 11:30:00,92.15,92.25,92.05,92.15,354000.0
2015-11-12 11:45:00,92.15,92.25,92.15,92.2,119500.0
2015-11-12 12:45:00,92.2,92.2,92.2,92.2,500.0
2015-11-12 13:00:00,92.15,92.3,92.1,92.15,318500.0
2015-11-12 13:15:00,92.15,92.25,91.95,91.95,320000.0
2015-11-12 13:30:00,91.95,92.2,91.9,92.2,250000.0
2015-11-12 13:45:00,92.2,92.2,92.0,92.1,191000.0
2015-11-12 14:00:00,92.15,92.3,92.15,92.25,189500.0
2015-11-12 14:15:00,92.2,92.3,92.15,92.2,267000.0
2015-11-12 14:30:00,92.25,92.9,92.1,92.65,1451000.0
2015-11-12 14:45:00,92.65,92.9,92.55,92.55,641000.0
2015-11-12 15:00:00,92.55,92.95,92.5,92.9,532500.0
2015-11-12 15:15:00,92.9,93.2,92.75,93.05,909500.0
2015-11-12 15:30:00,93.05,93.7,93.05,93.15,1369500.0
2015-11-12 15:45:00,93.15,93.4,92.95,93.2,2685000.0
2015-11-12 16:00:00,93.15,93.15,93.15,93.15,0.0
2015-11-13 09:15:00,91.25,91.45,91.25,91.45,478500.0
2015-11-13 09:30:00,91.4,91.55,90.8,91.0,2116000.0
2015-11-13 09:45:00,90.95,91.1,90.9,91.05,660000.0
2015-11-13 10:00:00,91.05,91.1,90.95,91.0,574500.0
2015-11-13 10:15:00,90.95,91.05,90.85,90.9,313000.0
2015-11-13 10:30:00,90.95,91.0,90.6,90.7,936500.0
2015-11-13 10:45:00,90.7,90.8,90.65,90.75,440000.0
2015-11-13 11:00:00,90.75,90.85,90.65,90.75,412000.0
2015-11-13 11:15:00,90.75,90.75,90.6,90.65,338500.0
2015-11-13 11:30:00,90.7,90.9,90.65,90.8,487500.0
2015-11-13 11:45:00,90.8,90.85,90.75,90.85,239500.0
2015-11-13 12:45:00,90.8,90.8,90.8,90.8,3000.0
2015-11-13 13:00:00,90.85,90.85,90.65,90.7,699500.0
2015-11-13 13:15:00,90.65,90.8,90.5,90.6,939500.0
2015-11-13 13:30:00,90.55,90.65,90.55,90.6,529000.0
2015-11-13 13:45:00,90.6,90.6,90.4,90.5,1278000.0
2015-11-13 14:00:00,90.45,90.7,90.45,90.6,709000.0
2015-11-13 14:15:00,90.6,90.9,90.55,90.8,495000.0
2015-11-13 14:30:00,90.75,90.8,90.7,90.7,511000.0
2015-11-13 14:45:00,90.7,90.75,90.55,90.65,1191500.0
2015-11-13 15:00:00,90.7,90.7,90.5,90.55,511500.0
2015-11-13 15:15:00,90.6,90.65,90.5,90.6,701500.0
2015-11-13 15:30:00,90.6,90.6,90.5,90.6,826500.0
2015-11-13 15:45:00,90.65,90.7,90.35,90.55,4248000.0
2015-11-13 16:00:00,90.55,90.55,90.55,90.55,0.0
2015-11-16 09:15:00,89.05,89.05,89.0,89.05,864000.0
2015-11-16 09:30:00,89.05,89.65,89.0,89.55,1854500.0
2015-11-16 09:45:00,89.6,90.1,89.55,90.05,1146000.0
2015-11-16 10:00:00,90.1,90.15,90.0,90.05,434000.0
2015-11-16 10:15:00,90.05,90.1,90.0,90.05,325500.0
2015-11-16 10:30:00,90.05,90.05,89.6,89.7,914000.0
2015-11-16 10:45:00,89.65,89.9,89.65,89.9,399500.0
2015-11-16 11:00:00,89.9,90.1,89.9,90.05,406500.0
2015-11-16 11:15:00,90.05,90.1,89.9,90.0,372500.0
2015-11-16 11:30:00,90.0,90.05,89.9,90.05,350500.0
2015-11-16 11:45:00,90.05,90.05,89.8,90.05,350500.0
2015-11-16 12:45:00,90.0,90.0,90.0,90.0,1000.0
2015-11-16 13:00:00,90.05,90.1,89.85,89.9,208500.0
