DATE,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,VOLUME
2015-11-11 09:15:00,80.7,80.7,80.7,80.7,8000.0
2015-11-11 09:30:00,80.75,81.35,80.45,81.2,59500.0
2015-11-11 09:45:00,81.25,81.25,81.2,81.2,11000.0
2015-11-11 10:00:00,81.2,81.55,81.2,81.45,32500.0
2015-11-11 10:15:00,81.55,81.6,81.45,81.55,32500.0
2015-11-11 10:30:00,81.55,81.6,81.55,81.6,6000.0
2015-11-11 10:45:00,81.55,81.6,81.55,81.55,12000.0
2015-11-11 11:00:00,81.5,81.55,81.5,81.5,13500.0
2015-11-11 11:15:00,81.5,81.5,81.1,81.15,35000.0
2015-11-11 11:30:00,81.15,81.15,80.4,80.8,91000.0
2015-11-11 11:45:00,80.8,80.8,80.65,80.65,11000.0
2015-11-11 13:00:00,80.8,80.8,80.7,80.75,30000.0
2015-11-11 13:15:00,80.75,80.75,80.7,80.7,8500.0
2015-11-11 13:30:00,80.75,80.75,80.0,80.05,78000.0
2015-11-11 13:45:00,80.05,80.4,80.05,80.3,51000.0
2015-11-11 14:00:00,80.35,80.8,80.35,80.55,54500.0
2015-11-11 14:15:00,80.5,81.25,80.5,81.2,72500.0
2015-11-11 14:30:00,81.2,81.55,81.2,81.3,58500.0
2015-11-11 14:45:00,81.35,81.35,81.05,81.1,29500.0
2015-11-11 15:00:00,81.1,81.3,81.05,81.3,51500.0
2015-11-11 15:15:00,81.3,81.3,81.1,81.1,52500.0
2015-11-11 15:30:00,81.15,81.15,81.0,81.05,69500.0
2015-11-11 15:45:00,81.0,81.05,80.7,80.9,318500.0
2015-11-11 16:00:00,80.75,80.75,80.75,80.75,0.0
2015-11-12 09:15:00,81.45,81.45,81.45,81.45,17500.0
2015-11-12 09:30:00,81.4,81.6,80.9,81.4,71000.0
2015-11-12 09:45:00,81.35,81.7,80.9,81.7,20500.0
2015-11-12 10:00:00,81.65,81.65,81.3,81.45,15500.0
2015-11-12 10:15:00,81.45,82.3,81.45,82.05,48500.0
2015-11-12 10:30:00,82.0,82.0,81.75,81.75,3000.0
2015-11-12 10:45:00,81.75,82.1,81.7,82.1,17000.0
2015-11-12 11:00:00,82.1,82.15,82.05,82.1,20500.0
2015-11-12 11:15:00,82.15,82.15,82.1,82.15,14500.0
2015-11-12 11:30:00,82.15,82.15,82.0,82.0,40500.0
2015-11-12 11:45:00,82.0,82.0,81.95,81.95,25000.0
2015-11-12 13:00:00,82.0,82.0,81.95,82.0,23000.0
2015-11-12 13:15:00,82.0,82.0,81.95,82.0,40000.0
2015-11-12 13:30:00,82.0,82.5,82.0,82.5,60500.0
2015-11-12 13:45:00,82.5,82.5,82.35,82.45,34000.0
2015-11-12 14:00:00,82.4,82.45,82.35,82.4,36000.0
2015-11-12 14:15:00,82.35,82.4,82.35,82.35,11500.0
2015-11-12 14:30:00,82.4,83.5,82.35,83.45,239500.0
2015-11-12 14:45:00,83.5,83.8,83.15,83.2,144000.0
2015-11-12 15:00:00,83.15,83.4,83.15,83.4,109000.0
2015-11-12 15:15:00,83.4,83.7,83.3,83.65,156000.0
2015-11-12 15:30:00,83.7,83.7,83.35,83.35,285000.0
2015-11-12 15:45:00,83.5,84.05,83.35,84.05,702500.0
2015-11-12 16:00:00,84.05,84.05,84.05,84.05,0.0
2015-11-13 09:15:00,82.05,82.05,82.05,82.05,26500.0
2015-11-13 09:30:00,82.1,82.25,80.45,81.1,396500.0
2015-11-13 09:45:00,81.1,81.7,81.05,81.5,205500.0
2015-11-13 10:00:00,81.55,82.2,81.3,81.3,79000.0
2015-11-13 10:15:00,81.3,81.6,81.3,81.55,49500.0
2015-11-13 10:30:00,81.6,81.6,81.35,81.4,69500.0
2015-11-13 10:45:00,81.4,81.55,81.2,81.35,51500.0
2015-11-13 11:00:00,81.3,81.4,81.05,81.3,146000.0
2015-11-13 11:15:00,81.3,81.3,81.0,81.0,107000.0
2015-11-13 11:30:00,81.05,81.4,80.95,81.4,241000.0
2015-11-13 11:45:00,81.45,81.45,81.3,81.35,35500.0
2015-11-13 12:45:00,81.3,81.3,81.3,81.3,13500.0
2015-11-13 13:00:00,81.25,81.8,81.05,81.8,136500.0
2015-11-13 13:15:00,81.65,81.65,81.0,81.05,80000.0
2015-11-13 13:30:00,81.15,81.15,81.0,81.0,64500.0
2015-11-13 13:45:00,81.05,81.05,80.95,81.0,71500.0
2015-11-13 14:00:00,81.0,81.4,80.95,81.4,117500.0
2015-11-13 14:15:00,81.35,81.35,81.2,81.25,72500.0
2015-11-13 14:30:00,81.25,81.25,81.15,81.2,104500.0
2015-11-13 14:45:00,81.2,81.2,80.95,80.95,189000.0
2015-11-13 15:00:00,81.0,81.0,80.95,81.0,78500.0
2015-11-13 15:15:00,80.95,81.05,80.95,81.05,149000.0
2015-11-13 15:30:00,81.05,81.1,81.0,81.1,125000.0
2015-11-13 15:45:00,81.1,81.1,80.85,81.0,467000.0
2015-11-13 16:00:00,80.95,80.95,80.95,80.95,0.0
2015-11-16 09:15:00,79.85,79.85,79.85,79.85,22500.0
2015-11-16 09:30:00,79.7,80.6,79.05,79.05,119000.0
2015-11-16 09:45:00,79.1,79.35,79.0,79.1,77500.0
2015-11-16 10:00:00,79.1,79.25,79.05,79.15,59500.0
2015-11-16 10:15:00,79.1,79.15,79.05,79.1,50500.0
2015-11-16 10:30:00,79.15,79.15,79.0,79.1,133500.0
2015-11-16 10:45:00,79.1,79.1,79.0,79.0,51500.0
2015-11-16 11:00:00,79.0,79.05,79.0,79.0,22000.0
